CBF,In,Out,Nº,Clube
145958,00:00 - 1T,45:00 - 2T,1,Avaí/SC
140020,00:00 - 1T,45:00 - 2T,1,A.s.a./AL
179100,00:00 - 1T,45:00 - 2T,2,Avaí/SC
145757,00:00 - 1T,45:00 - 2T,2,A.s.a./AL
184224,00:00 - 1T,45:00 - 2T,3,Avaí/SC
177261,00:00 - 1T,45:00 - 2T,3,A.s.a./AL
183732,00:00 - 1T,45:00 - 2T,4,Avaí/SC
168009,00:00 - 1T,45:00 - 2T,4,A.s.a./AL
159223,00:00 - 1T,45:00 - 2T,5,Avaí/SC
162009,00:00 - 1T,45:00 - 2T,5,A.s.a./AL
172712,00:00 - 1T,45:00 - 2T,6,Avaí/SC
138020,00:00 - 1T,45:00 - 2T,6,A.s.a./AL
161597,00:00 - 1T,45:00 - 2T,7,Avaí/SC
184257,00:00 - 1T,45:00 - 2T,7,A.s.a./AL
175676,00:00 - 1T,45:00 - 2T,8,Avaí/SC
369596,00:00 - 1T,45:00 - 2T,8,A.s.a./AL
156079,00:00 - 1T,45:00 - 2T,10,Avaí/SC
167698,00:00 - 1T,45:00 - 2T,9,A.s.a./AL
296863,00:00 - 1T,45:00 - 2T,11,Avaí/SC
361147,00:00 - 1T,45:00 - 2T,11,A.s.a./AL
140653,00:00 - 1T,45:00 - 2T,88,Avaí/SC
184798,00:00 - 1T,45:00 - 2T,19,A.s.a./AL
