CBF,Time,Type,Game
389378,38:00 - 2T,NR,103
335249,06:00 - 2T,NR,104
188729,20:00 - 2T,CT,104
404399,29:00 - 2T,FT,104
168982,19:00 - 1T,NR,105
168072,+4 - 1T,NR,105
318957,38:00 - 2T,NR,105
394762,02:00 - 1T,NR,106
313029,05:00 - 2T,NR,106
174071,33:00 - 2T,NR,107
406738,41:00 - 2T,NR,107
149578,04:00 - 1T,NR,108
367343,+4 - 1T,NR,108
367343,21:00 - 2T,NR,108
527047,34:00 - 2T,NR,108
363578,03:00 - 2T,NR,109
178472,33:00 - 2T,NR,109
369639,+7 - 2T,NR,109
383537,14:00 - 1T,FT,111
292833,30:00 - 1T,NR,111
182423,33:00 - 2T,NR,111
694029,38:00 - 2T,NR,112
180284,28:00 - 1T,NR,114
369639,45:00 - 2T,PN,114
321556,23:00 - 2T,NR,115
520031,32:00 - 2T,NR,116
509608,38:00 - 2T,NR,116
389256,18:00 - 2T,NR,117
305521,05:00 - 2T,NR,120
432217,04:00 - 1T,NR,122
434038,13:00 - 1T,PN,122
298402,30:00 - 1T,NR,122
299156,17:00 - 2T,CT,122
376405,34:00 - 2T,FT,122
382612,23:00 - 1T,NR,124
381689,09:00 - 2T,PN,124
308427,21:00 - 2T,NR,124
174223,36:00 - 2T,PN,124
321556,01:00 - 1T,NR,125
344841,08:00 - 2T,NR,126
459450,+1 - 2T,NR,126
335012,45:00 - 2T,NR,127
370113,15:00 - 1T,FT,128
322716,17:00 - 1T,NR,129
363480,+4 - 2T,NR,130
363578,12:00 - 1T,NR,131
182423,40:00 - 1T,NR,131
369639,13:00 - 2T,NR,131
399087,02:00 - 1T,NR,132
318165,29:00 - 2T,NR,132
554868,+4 - 2T,NR,132
178294,18:00 - 1T,PN,133
293188,28:00 - 1T,NR,133
365355,39:00 - 2T,NR,133
340115,34:00 - 1T,NR,134
170026,22:00 - 2T,NR,134
162905,24:00 - 1T,NR,137
389256,05:00 - 2T,NR,137
509608,05:00 - 2T,NR,140
175557,27:00 - 1T,NR,141
323819,34:00 - 2T,NR,141
316748,04:00 - 1T,NR,144
300229,18:00 - 1T,NR,144
633725,19:00 - 1T,NR,144
305393,43:00 - 2T,PN,144
376566,08:00 - 1T,NR,146
330413,42:00 - 1T,NR,146
352481,06:00 - 1T,NR,147
352481,13:00 - 1T,PN,147
154127,01:00 - 2T,NR,147
369639,32:00 - 1T,NR,149
331248,41:00 - 2T,NR,149
363480,25:00 - 1T,NR,150
363480,12:00 - 2T,NR,150
170026,22:00 - 2T,NR,150
154127,24:00 - 1T,Wagner Ferreira dos Santos,151
439695,04:00 - 1T,NR,153
170095,26:00 - 1T,NR,153
315834,01:00 - 2T,NR,153
633725,11:00 - 2T,NR,153
351040,23:00 - 2T,PN,153
502230,30:00 - 1T,NR,154
169747,12:00 - 1T,NR,155
336999,36:00 - 2T,PN,155
321556,+4 - 2T,PN,155
318095,01:00 - 1T,NR,159
318095,12:00 - 1T,NR,159
434289,18:00 - 1T,NR,159
318095,35:00 - 1T,NR,159
360467,23:00 - 1T,NR,160
183853,16:00 - 2T,PN,160
420539,28:00 - 1T,NR,161
336999,36:00 - 1T,PN,161
438212,+1 - 1T,NR,161
143465,29:00 - 1T,NR,162
303403,43:00 - 2T,NR,162
186564,37:00 - 2T,NR,163
360467,06:00 - 1T,NR,164
439733,25:00 - 1T,NR,164
182466,24:00 - 2T,PN,164
314533,30:00 - 2T,CT,164
430405,43:00 - 2T,NR,164
292833,39:00 - 2T,NR,166
389378,35:00 - 1T,NR,167
389378,09:00 - 2T,NR,167
389256,15:00 - 2T,NR,167
367343,08:00 - 1T,PN,168
180284,34:00 - 2T,NR,168
177015,14:00 - 1T,NR,169
318095,27:00 - 1T,NR,169
370113,30:00 - 2T,PN,169
369639,41:00 - 2T,NR,169
344228,13:00 - 1T,NR,170
334568,33:00 - 1T,NR,170
387314,03:00 - 2T,FT,170
427774,04:00 - 2T,NR,170
162905,15:00 - 2T,NR,170
348895,20:00 - 2T,NR,170
366405,30:00 - 1T,NR,171
438212,10:00 - 2T,NR,171
318095,35:00 - 2T,PN,171
315834,23:00 - 1T,NR,173
401315,34:00 - 1T,NR,174
425933,31:00 - 2T,NR,174
188990,40:00 - 2T,NR,174
352481,01:00 - 1T,NR,177
315979,37:00 - 1T,NR,177
299242,06:00 - 1T,NR,179
369639,28:00 - 1T,NR,179
565236,43:00 - 2T,NR,179
182466,06:00 - 2T,NR,180
350899,17:00 - 2T,NR,182
441070,07:00 - 1T,NR,183
387443,30:00 - 1T,NR,183
