CBF,In,Out,Nº,Clube
332840,00:00 - 1T,45:00 - 2T,12,America/MG
297646,00:00 - 1T,45:00 - 2T,25,Botafogo/SP
322852,00:00 - 1T,21:00 - 2T,2,America/MG
444950,00:00 - 1T,45:00 - 2T,2,Botafogo/SP
381149,00:00 - 1T,45:00 - 2T,3,America/MG
351632,00:00 - 1T,45:00 - 2T,3,Botafogo/SP
366405,00:00 - 1T,45:00 - 2T,4,America/MG
419442,00:00 - 1T,45:00 - 2T,6,Botafogo/SP
358808,00:00 - 1T,45:00 - 2T,5,America/MG
354104,00:00 - 1T,24:00 - 2T,7,Botafogo/SP
323819,00:00 - 1T,INT,7,America/MG
307957,00:00 - 1T,24:00 - 2T,8,Botafogo/SP
337261,00:00 - 1T,45:00 - 2T,8,America/MG
512119,00:00 - 1T,45:00 - 2T,16,Botafogo/SP
423003,00:00 - 1T,40:00 - 2T,9,America/MG
186547,00:00 - 1T,24:00 - 2T,28,Botafogo/SP
336999,00:00 - 1T,INT,10,America/MG
383244,00:00 - 1T,13:00 - 2T,31,Botafogo/SP
311988,00:00 - 1T,45:00 - 2T,11,America/MG
298361,00:00 - 1T,45:00 - 2T,34,Botafogo/SP
376801,00:00 - 1T,29:00 - 2T,16,America/MG
337508,00:00 - 1T,+2:00 - 2T,39,Botafogo/SP
466309,+2:00 - 2T,45:00 - 2T,29,Botafogo/SP
393447,INT,45:00 - 2T,18,America/MG
169747,INT,45:00 - 2T,17,America/MG
307032,13:00 - 2T,45:00 - 2T,40,Botafogo/SP
291855,21:00 - 2T,45:00 - 2T,20,America/MG
510130,24:00 - 2T,45:00 - 2T,17,Botafogo/SP
341827,24:00 - 2T,45:00 - 2T,30,Botafogo/SP
169835,24:00 - 2T,45:00 - 2T,13,Botafogo/SP
579599,29:00 - 2T,45:00 - 2T,24,America/MG
517639,40:00 - 2T,45:00 - 2T,23,America/MG
