CBF,In,Out,Nº,Clube
359929,00:00 - 1T,45:00 - 2T,1,VitoriaF.C./ES
186430,00:00 - 1T,45:00 - 2T,1,Goianesia/GO
361103,00:00 - 1T,45:00 - 2T,2,VitoriaF.C./ES
529861,00:00 - 1T,45:00 - 2T,2,Goianesia/GO
307928,00:00 - 1T,45:00 - 2T,3,VitoriaF.C./ES
341787,00:00 - 1T,45:00 - 2T,3,Goianesia/GO
321857,00:00 - 1T,45:00 - 2T,4,VitoriaF.C./ES
315017,00:00 - 1T,13:00 - 2T,4,Goianesia/GO
333825,00:00 - 1T,45:00 - 2T,5,VitoriaF.C./ES
348182,00:00 - 1T,45:00 - 2T,5,Goianesia/GO
185667,00:00 - 1T,45:00 - 2T,6,VitoriaF.C./ES
183245,00:00 - 1T,45:00 - 2T,6,Goianesia/GO
352178,00:00 - 1T,45:00 - 2T,8,VitoriaF.C./ES
307486,00:00 - 1T,38:00 - 2T,7,Goianesia/GO
316565,00:00 - 1T,45:00 - 2T,9,VitoriaF.C./ES
392714,00:00 - 1T,08:00 - 2T,8,Goianesia/GO
299190,00:00 - 1T,45:00 - 2T,10,VitoriaF.C./ES
551655,00:00 - 1T,45:00 - 2T,9,Goianesia/GO
346533,00:00 - 1T,45:00 - 2T,11,VitoriaF.C./ES
184858,00:00 - 1T,45:00 - 2T,10,Goianesia/GO
393852,00:00 - 1T,45:00 - 2T,18,VitoriaF.C./ES
345684,00:00 - 1T,13:00 - 2T,11,Goianesia/GO
583949,08:00 - 2T,45 - 2T,17,Goianesia/GO
291990,13:00 - 2T,45 - 2T,16,Goianesia/GO
300450,13:00 - 2T,45 - 2T,13,Goianesia/GO
296884,38:00 - 2T,45 - 2T,18,Goianesia/GO
