CBF,In,Out,Nº,Clube
402724,00:00 - 1T,45:00 - 2T,70,Coruripe/AL
294558,00:00 - 1T,45:00 - 2T,1,Abc/RN
188507,00:00 - 1T,45:00 - 2T,2,Coruripe/AL
401976,00:00 - 1T,45:00 - 2T,2,Abc/RN
320416,00:00 - 1T,45:00 - 2T,3,Coruripe/AL
297954,00:00 - 1T,45:00 - 2T,3,Abc/RN
533389,00:00 - 1T,45:00 - 2T,4,Coruripe/AL
430304,00:00 - 1T,10:00 - 2T,5,Abc/RN
342414,00:00 - 1T,45:00 - 2T,5,Coruripe/AL
370703,00:00 - 1T,45:00 - 2T,6,Abc/RN
341909,00:00 - 1T,26:00 - 2T,6,Coruripe/AL
191513,00:00 - 1T,25:00 - 2T,7,Abc/RN
188554,00:00 - 1T,45:00 - 2T,7,Coruripe/AL
427720,00:00 - 1T,INT,8,Abc/RN
406355,00:00 - 1T,INT,8,Coruripe/AL
388399,00:00 - 1T,45:00 - 2T,9,Abc/RN
341399,00:00 - 1T,20:00 - 2T,9,Coruripe/AL
363827,00:00 - 1T,45:00 - 2T,10,Abc/RN
181557,00:00 - 1T,26:00 - 2T,10,Coruripe/AL
343716,00:00 - 1T,45:00 - 2T,13,Abc/RN
292593,00:00 - 1T,18:00 - 1T,11,Coruripe/AL
355600,00:00 - 1T,INT,17,Abc/RN
538679,INT,33:00 - 2T,26,Abc/RN
443345,INT,45:00 - 2T,17,Coruripe/AL
457301,INT,45:00 - 2T,25,Abc/RN
516499,18:00 - 1T,45:00 - 2T,19,Coruripe/AL
337532,10:00 - 2T,45:00 - 2T,19,Abc/RN
405469,20:00 - 2T,45:00 - 2T,16,Coruripe/AL
179600,25:00 - 2T,45:00 - 2T,21,Abc/RN
435956,26:00 - 2T,45:00 - 2T,15,Coruripe/AL
526406,26:00 - 2T,45:00 - 2T,21,Coruripe/AL
552789,33:00 - 2T,45:00 - 2T,24,Abc/RN
