CBF,In,Out,Nº,Clube
150105,00:00 - 1T,45:00 - 2T,1,Guarani/SP
172292,00:00 - 1T,45:00 - 2T,1,Figueirense/SC
502001,00:00 - 1T,45:00 - 2T,2,Guarani/SP
322380,00:00 - 1T,45:00 - 2T,3,Figueirense/SC
302881,00:00 - 1T,45:00 - 2T,3,Guarani/SP
412979,00:00 - 1T,45:00 - 2T,4,Figueirense/SC
166943,00:00 - 1T,45:00 - 2T,4,Guarani/SP
159237,00:00 - 1T,45:00 - 2T,5,Figueirense/SC
334881,00:00 - 1T,30:00 - 2T,5,Guarani/SP
310722,00:00 - 1T,45:00 - 2T,14,Figueirense/SC
393868,00:00 - 1T,45:00 - 2T,6,Guarani/SP
304239,00:00 - 1T,39:00 - 2T,17,Figueirense/SC
179100,00:00 - 1T,45:00 - 2T,7,Guarani/SP
178099,00:00 - 1T,35:00 - 2T,19,Figueirense/SC
313937,00:00 - 1T,13:00 - 2T,8,Guarani/SP
187591,00:00 - 1T,45:00 - 2T,20,Figueirense/SC
374375,00:00 - 1T,45:00 - 2T,9,Guarani/SP
427914,00:00 - 1T,37:00 - 2T,23,Figueirense/SC
183844,00:00 - 1T,45:00 - 2T,10,Guarani/SP
184273,00:00 - 1T,45:00 - 2T,26,Figueirense/SC
352481,00:00 - 1T,33:00 - 2T,11,Guarani/SP
338849,00:00 - 1T,45:00 - 2T,36,Figueirense/SC
300562,13:00 - 2T,45:00 - 2T,16,Guarani/SP
398332,30:00 - 2T,45:00 - 2T,13,Guarani/SP
185680,33:00 - 2T,45:00 - 2T,17,Guarani/SP
391068,35:00 - 2T,45:00 - 2T,9,Figueirense/SC
184685,37:00 - 2T,45:00 - 2T,7,Figueirense/SC
304071,39:00 - 2T,45:00 - 2T,13,Figueirense/SC
