CBF,In,Out,Nº,Clube
168351,00:00 - 1T,45:00 - 2T,1,Grêmio/RS
154179,00:00 - 1T,45:00 - 2T,12,SãoPaulo/SP
161745,00:00 - 1T,45:00 - 2T,2,Grêmio/RS
316645,00:00 - 1T,45:00 - 2T,3,SãoPaulo/SP
165322,00:00 - 1T,45:00 - 2T,3,Grêmio/RS
595193,00:00 - 1T,45:00 - 2T,4,SãoPaulo/SP
554626,00:00 - 1T,45:00 - 2T,4,Grêmio/RS
178222,00:00 - 1T,45:00 - 2T,6,SãoPaulo/SP
409960,00:00 - 1T,45:00 - 2T,7,Grêmio/RS
161269,00:00 - 1T,45:00 - 2T,7,SãoPaulo/SP
180546,00:00 - 1T,45:00 - 2T,12,Grêmio/RS
521936,00:00 - 1T,45:00 - 2T,9,SãoPaulo/SP
295418,00:00 - 1T,37:00 - 2T,17,Grêmio/RS
173861,00:00 - 1T,45:00 - 2T,15,SãoPaulo/SP
532800,00:00 - 1T,25:00 - 2T,18,Grêmio/RS
163254,00:00 - 1T,45:00 - 2T,16,SãoPaulo/SP
173277,00:00 - 1T,24:00 - 2T,21,Grêmio/RS
295821,00:00 - 1T,45:00 - 2T,23,SãoPaulo/SP
407095,00:00 - 1T,45:00 - 2T,25,Grêmio/RS
184845,00:00 - 1T,45:00 - 2T,25,SãoPaulo/SP
302792,00:00 - 1T,45:00 - 2T,29,Grêmio/RS
356726,00:00 - 1T,45:00 - 2T,28,SãoPaulo/SP
379065,24:00 - 2T,45 - 2T,11,Grêmio/RS
178373,25:00 - 2T,45 - 2T,31,Grêmio/RS
298485,37:00 - 2T,45 - 2T,5,Grêmio/RS
