CBF,In,Out,Nº,Clube
345951,00:00 - 1T,45:00 - 2T,1,MotoClub/MA
182917,00:00 - 1T,45:00 - 2T,1,Ypiranga/AP
187428,00:00 - 1T,45:00 - 2T,2,MotoClub/MA
420574,00:00 - 1T,26:00 - 2T,2,Ypiranga/AP
392116,00:00 - 1T,45:00 - 2T,3,MotoClub/MA
294386,00:00 - 1T,45:00 - 2T,3,Ypiranga/AP
360491,00:00 - 1T,45:00 - 2T,4,MotoClub/MA
303796,00:00 - 1T,45:00 - 2T,4,Ypiranga/AP
328541,00:00 - 1T,45:00 - 2T,5,MotoClub/MA
305708,00:00 - 1T,45:00 - 2T,5,Ypiranga/AP
318584,00:00 - 1T,45:00 - 2T,6,MotoClub/MA
150718,00:00 - 1T,45:00 - 2T,6,Ypiranga/AP
161597,00:00 - 1T,45:00 - 2T,7,MotoClub/MA
422777,00:00 - 1T,20:00 - 2T,7,Ypiranga/AP
377764,00:00 - 1T,45:00 - 2T,8,MotoClub/MA
513158,00:00 - 1T,45:00 - 2T,8,Ypiranga/AP
322082,00:00 - 1T,45:00 - 2T,9,MotoClub/MA
180301,00:00 - 1T,45:00 - 2T,9,Ypiranga/AP
291659,00:00 - 1T,45:00 - 2T,10,MotoClub/MA
312295,00:00 - 1T,45:00 - 2T,10,Ypiranga/AP
330590,00:00 - 1T,45:00 - 2T,11,MotoClub/MA
553616,00:00 - 1T,07:00 - 2T,11,Ypiranga/AP
367874,07:00 - 2T,45:00 - 2T,18,Ypiranga/AP
427733,20:00 - 2T,45:00 - 2T,17,Ypiranga/AP
436779,26:00 - 2T,45:00 - 2T,13,Ypiranga/AP
