CBF,In,Out,Nº,Clube
140841,00:00 - 1T,45:00 - 2T,1,Botafogo/RJ
293428,00:00 - 1T,45:00 - 2T,1,Atlético/PR
307840,00:00 - 1T,45:00 - 2T,2,Botafogo/RJ
308405,00:00 - 1T,45:00 - 2T,7,Atlético/PR
317022,00:00 - 1T,45:00 - 2T,3,Botafogo/RJ
306616,00:00 - 1T,45:00 - 2T,11,Atlético/PR
158204,00:00 - 1T,45:00 - 2T,4,Botafogo/RJ
183873,00:00 - 1T,45:00 - 2T,15,Atlético/PR
184455,00:00 - 1T,45:00 - 2T,5,Botafogo/RJ
171975,00:00 - 1T,05:00 - 2T,17,Atlético/PR
318481,00:00 - 1T,45:00 - 2T,6,Botafogo/RJ
305360,00:00 - 1T,45:00 - 2T,22,Atlético/PR
291732,00:00 - 1T,37:00 - 2T,7,Botafogo/RJ
183853,00:00 - 1T,45:00 - 2T,26,Atlético/PR
320263,00:00 - 1T,45:00 - 2T,8,Botafogo/RJ
409873,00:00 - 1T,45:00 - 2T,27,Atlético/PR
185126,00:00 - 1T,45:00 - 2T,9,Botafogo/RJ
191433,00:00 - 1T,31:00 - 2T,30,Atlético/PR
598963,00:00 - 1T,42:00 - 2T,10,Botafogo/RJ
319832,00:00 - 1T,INT,39,Atlético/PR
451607,00:00 - 1T,16:00 - 2T,11,Botafogo/RJ
171788,00:00 - 1T,45:00 - 2T,44,Atlético/PR
396433,INT,45:00 - 2T,12,Atlético/PR
307317,05:00 - 2T,45:00 - 2T,92,Atlético/PR
301503,16:00 - 2T,45:00 - 2T,17,Botafogo/RJ
176522,31:00 - 2T,45:00 - 2T,91,Atlético/PR
418697,37:00 - 2T,45:00 - 2T,20,Botafogo/RJ
139094,42:00 - 2T,45:00 - 2T,22,Botafogo/RJ
