CBF,In,Out,Nº,Clube
144612,00:00 - 1T,45:00 - 2T,22,Palmeiras/SP
159209,00:00 - 1T,45:00 - 2T,1,Chapecoense/SC
128373,00:00 - 1T,45:00 - 2T,3,Palmeiras/SP
352647,00:00 - 1T,21:00 - 2T,2,Chapecoense/SC
182684,00:00 - 1T,45:00 - 2T,6,Palmeiras/SP
160686,00:00 - 1T,45:00 - 2T,3,Chapecoense/SC
179697,00:00 - 1T,38:00 - 2T,10,Palmeiras/SP
328680,00:00 - 1T,45:00 - 2T,4,Chapecoense/SC
170540,00:00 - 1T,31:00 - 2T,11,Palmeiras/SP
186413,00:00 - 1T,45:00 - 2T,5,Chapecoense/SC
176908,00:00 - 1T,40:00 - 1T,17,Palmeiras/SP
180179,00:00 - 1T,45:00 - 2T,6,Chapecoense/SC
189708,00:00 - 1T,45:00 - 2T,19,Palmeiras/SP
162278,00:00 - 1T,32:00 - 2T,7,Chapecoense/SC
172123,00:00 - 1T,45:00 - 2T,26,Palmeiras/SP
294712,00:00 - 1T,INT,8,Chapecoense/SC
309431,00:00 - 1T,45:00 - 2T,35,Palmeiras/SP
306149,00:00 - 1T,45:00 - 2T,9,Chapecoense/SC
317697,00:00 - 1T,45:00 - 2T,43,Palmeiras/SP
161437,00:00 - 1T,45:00 - 2T,10,Chapecoense/SC
376586,00:00 - 1T,45:00 - 2T,54,Palmeiras/SP
174372,00:00 - 1T,45:00 - 2T,11,Chapecoense/SC
146284,INT,45:00 - 2T,18,Chapecoense/SC
511616,40:00 - 1T,45:00 - 2T,9,Palmeiras/SP
171685,21:00 - 2T,45:00 - 2T,14,Chapecoense/SC
171936,31:00 - 2T,45:00 - 2T,30,Palmeiras/SP
145244,32:00 - 2T,45:00 - 2T,16,Chapecoense/SC
318691,38:00 - 2T,45:00 - 2T,37,Palmeiras/SP
