CBF,In,Out,Nº,Clube
172299,00:00 - 1T,45:00 - 2T,1,Bragantino/SP
347014,00:00 - 1T,45:00 - 2T,1,Tupi/MG
318907,00:00 - 1T,45:00 - 2T,2,Bragantino/SP
411414,00:00 - 1T,45:00 - 2T,2,Tupi/MG
304266,00:00 - 1T,45:00 - 2T,3,Bragantino/SP
307295,00:00 - 1T,45:00 - 2T,3,Tupi/MG
291534,00:00 - 1T,45:00 - 2T,4,Bragantino/SP
363866,00:00 - 1T,45:00 - 2T,4,Tupi/MG
323125,00:00 - 1T,45:00 - 2T,5,Bragantino/SP
179582,00:00 - 1T,45:00 - 2T,5,Tupi/MG
304325,00:00 - 1T,45:00 - 2T,6,Bragantino/SP
185199,00:00 - 1T,45:00 - 2T,6,Tupi/MG
346523,00:00 - 1T,36:00 - 2T,7,Bragantino/SP
166249,00:00 - 1T,45:00 - 2T,7,Tupi/MG
341779,00:00 - 1T,45:00 - 2T,8,Bragantino/SP
333979,00:00 - 1T,45:00 - 2T,8,Tupi/MG
182469,00:00 - 1T,25:00 - 2T,9,Bragantino/SP
375401,00:00 - 1T,25:00 - 2T,9,Tupi/MG
177920,00:00 - 1T,45:00 - 2T,10,Bragantino/SP
355847,00:00 - 1T,33:00 - 2T,10,Tupi/MG
351975,00:00 - 1T,10:00 - 2T,11,Bragantino/SP
349089,00:00 - 1T,30:00 - 2T,11,Tupi/MG
356564,10:00 - 2T,45 - 2T,20,Bragantino/SP
174397,25:00 - 2T,45 - 2T,21,Bragantino/SP
303258,25:00 - 2T,45 - 2T,16,Tupi/MG
181073,30:00 - 2T,45 - 2T,18,Tupi/MG
334605,33:00 - 2T,45 - 2T,20,Tupi/MG
411495,36:00 - 2T,45 - 2T,22,Bragantino/SP
