CBF,In,Out,Nº,Clube
324461,00:00 - 1T,32:00 - 2T,1,Guaratinguetá/SP
338625,00:00 - 1T,45:00 - 2T,1,Boa/MG
435552,00:00 - 1T,45:00 - 2T,2,Guaratinguetá/SP
303436,00:00 - 1T,45:00 - 2T,2,Boa/MG
172340,00:00 - 1T,45:00 - 2T,4,Guaratinguetá/SP
157449,00:00 - 1T,45:00 - 2T,3,Boa/MG
351847,00:00 - 1T,45:00 - 2T,6,Guaratinguetá/SP
346440,00:00 - 1T,45:00 - 2T,4,Boa/MG
162755,00:00 - 1T,45:00 - 2T,7,Guaratinguetá/SP
188207,00:00 - 1T,45:00 - 2T,5,Boa/MG
539759,00:00 - 1T,21:00 - 2T,9,Guaratinguetá/SP
453528,00:00 - 1T,45:00 - 2T,6,Boa/MG
501710,00:00 - 1T,45:00 - 2T,13,Guaratinguetá/SP
316173,00:00 - 1T,09:00 - 2T,7,Boa/MG
554345,00:00 - 1T,45:00 - 2T,14,Guaratinguetá/SP
351605,00:00 - 1T,INT,8,Boa/MG
523157,00:00 - 1T,45:00 - 2T,17,Guaratinguetá/SP
322782,00:00 - 1T,26:00 - 2T,9,Boa/MG
537916,00:00 - 1T,45:00 - 2T,22,Guaratinguetá/SP
541107,00:00 - 1T,45:00 - 2T,10,Boa/MG
296549,00:00 - 1T,05:00 - 2T,23,Guaratinguetá/SP
423003,00:00 - 1T,45:00 - 2T,11,Boa/MG
344820,INT,45:00 - 2T,16,Boa/MG
429281,05:00 - 2T,45:00 - 2T,21,Guaratinguetá/SP
161201,09:00 - 2T,45:00 - 2T,19,Boa/MG
509130,21:00 - 2T,45:00 - 2T,18,Guaratinguetá/SP
302454,26:00 - 2T,45:00 - 2T,20,Boa/MG
529903,32:00 - 2T,45:00 - 2T,12,Guaratinguetá/SP
