CBF,In,Out,Nº,Clube
177436,00:00 - 1T,45:00 - 2T,12,Tupi/MG
155426,00:00 - 1T,45:00 - 2T,1,Criciúma/SC
167360,00:00 - 1T,45:00 - 2T,2,Tupi/MG
540797,00:00 - 1T,45:00 - 2T,2,Criciúma/SC
293718,00:00 - 1T,45:00 - 2T,3,Tupi/MG
308305,00:00 - 1T,45:00 - 2T,3,Criciúma/SC
184094,00:00 - 1T,45:00 - 2T,4,Tupi/MG
158675,00:00 - 1T,45:00 - 2T,4,Criciúma/SC
166416,00:00 - 1T,45:00 - 2T,5,Tupi/MG
360443,00:00 - 1T,45:00 - 2T,5,Criciúma/SC
306706,00:00 - 1T,45:00 - 2T,6,Tupi/MG
329055,00:00 - 1T,45:00 - 2T,6,Criciúma/SC
355387,00:00 - 1T,45:00 - 2T,7,Tupi/MG
159419,00:00 - 1T,45:00 - 2T,7,Criciúma/SC
302020,00:00 - 1T,45:00 - 2T,8,Tupi/MG
354201,00:00 - 1T,45:00 - 2T,8,Criciúma/SC
150855,00:00 - 1T,45:00 - 2T,9,Tupi/MG
187746,00:00 - 1T,45:00 - 2T,9,Criciúma/SC
169859,00:00 - 1T,45:00 - 2T,10,Tupi/MG
159768,00:00 - 1T,45:00 - 2T,10,Criciúma/SC
307486,00:00 - 1T,45:00 - 2T,11,Tupi/MG
370426,00:00 - 1T,45:00 - 2T,11,Criciúma/SC
