CBF,In,Out,Nº,Clube
178962,00:00 - 1T,45:00 - 2T,1,Atlético/GO
126468,00:00 - 1T,45:00 - 2T,1,Paraná/PR
340169,00:00 - 1T,45:00 - 2T,2,Atlético/GO
351207,00:00 - 1T,45:00 - 2T,2,Paraná/PR
299840,00:00 - 1T,45:00 - 2T,3,Atlético/GO
303987,00:00 - 1T,45:00 - 2T,3,Paraná/PR
163660,00:00 - 1T,45:00 - 2T,4,Atlético/GO
161639,00:00 - 1T,45:00 - 2T,4,Paraná/PR
298485,00:00 - 1T,45:00 - 2T,5,Atlético/GO
175588,00:00 - 1T,45:00 - 2T,5,Paraná/PR
305959,00:00 - 1T,45:00 - 2T,6,Atlético/GO
343787,00:00 - 1T,23:00 - 2T,6,Paraná/PR
176899,00:00 - 1T,25:00 - 1T,7,Atlético/GO
336063,00:00 - 1T,07:00 - 2T,7,Paraná/PR
298432,00:00 - 1T,45:00 - 2T,8,Atlético/GO
316765,00:00 - 1T,38:00 - 2T,8,Paraná/PR
293172,00:00 - 1T,45:00 - 2T,9,Atlético/GO
166180,00:00 - 1T,45:00 - 2T,9,Paraná/PR
330015,00:00 - 1T,40:00 - 2T,10,Atlético/GO
293188,00:00 - 1T,45:00 - 2T,10,Paraná/PR
299111,00:00 - 1T,29:00 - 2T,11,Atlético/GO
331248,00:00 - 1T,45:00 - 2T,11,Paraná/PR
316748,25:00 - 1T,45 - 2T,19,Atlético/GO
148584,07:00 - 2T,45 - 2T,17,Paraná/PR
328098,23:00 - 2T,45 - 2T,18,Paraná/PR
451607,29:00 - 2T,45 - 2T,18,Atlético/GO
190032,38:00 - 2T,45 - 2T,16,Paraná/PR
340240,40:00 - 2T,45 - 2T,16,Atlético/GO
