CBF,In,Out,Nº,Clube
157272,00:00 - 1T,45:00 - 2T,1,Londrina/PR
148882,00:00 - 1T,45:00 - 2T,1,Boavista/RJ
376828,00:00 - 1T,45:00 - 2T,2,Londrina/PR
188176,00:00 - 1T,45:00 - 2T,2,Boavista/RJ
174541,00:00 - 1T,45:00 - 2T,3,Londrina/PR
141479,00:00 - 1T,45:00 - 2T,3,Boavista/RJ
171894,00:00 - 1T,45:00 - 2T,4,Londrina/PR
184281,00:00 - 1T,45:00 - 2T,4,Boavista/RJ
308624,00:00 - 1T,45:00 - 2T,5,Londrina/PR
421180,00:00 - 1T,38:00 - 2T,5,Boavista/RJ
319577,00:00 - 1T,45:00 - 2T,6,Londrina/PR
154372,00:00 - 1T,45:00 - 2T,6,Boavista/RJ
165989,00:00 - 1T,20:00 - 2T,7,Londrina/PR
299943,00:00 - 1T,41:00 - 2T,7,Boavista/RJ
149725,00:00 - 1T,12:00 - 2T,8,Londrina/PR
169205,00:00 - 1T,45:00 - 2T,8,Boavista/RJ
162152,00:00 - 1T,45:00 - 2T,9,Londrina/PR
298013,00:00 - 1T,45:00 - 2T,9,Boavista/RJ
172288,00:00 - 1T,45:00 - 2T,10,Londrina/PR
183765,00:00 - 1T,34:00 - 2T,10,Boavista/RJ
343581,00:00 - 1T,08:00 - 2T,11,Londrina/PR
324875,00:00 - 1T,45:00 - 2T,11,Boavista/RJ
158730,08:00 - 2T,45 - 2T,13,Londrina/PR
323184,12:00 - 2T,45 - 2T,18,Londrina/PR
190027,20:00 - 2T,45 - 2T,19,Londrina/PR
292995,34:00 - 2T,45 - 2T,16,Boavista/RJ
295365,38:00 - 2T,45 - 2T,14,Boavista/RJ
307466,41:00 - 2T,45 - 2T,17,Boavista/RJ
