Game,Home,Away
161,UniãodeRondonópolis/MT,Luziânia/DF
162,Itumbiara/GO,Urt/MG
163,VillaNovaA.c./MG,Desportiva/ES
164,Portuguesa/SP,Bangu/RJ
165,Caldense/MG,RedBullBrasil/SP
166,Operario/PR,SãoPaulo/RS
167,Internacional/SC,SaoBernardo/SP
168,NovoHamburgo/RS,FozdoIguaçu/PR
169,Trem/AP,RealDesportivo/RO
171,Atlético/AC,Trem/AP
172,RealDesportivo/RO,PrincesadoSolimões/AM
173,FastClube/AM,Bare/RR
174,Gurupi/TO,SãoRaimundo/PA
175,S.francisco/PA,Genus/RO
177,Altos/PI,TocantinsEsporteClube/TO
178,Santos/AP,Cordino/MA
179,Maranhão/MA,Potiguar/RN
180,GuaranydeSobral/CE,Ríver/PI
181,América/PE,GuaranideJuazeiro/CE
182,Globo/RN,Parnahyba/PI
183,Central/PE,Sousa/PB
184,Juazeirense/BA,Coruripe/AL
185,FluminensedeFeira/BA,Itabaiana/SE
186,Campinense/PB,Atletico/PE
187,Murici/AL,AméricadeNatal/RN
188,Sergipe/SE,JacobinaEc/BA
189,Sinop/MT,Comercial/MS
190,Anápolis/GO,Ceilândia/DF
191,Luziânia/DF,Aparecidense/GO
192,7deSetembro/MS,UniãodeRondonópolis/MT
193,Audax/SP,Itumbiara/GO
194,Urt/MG,Portuguesa/RJ
195,Bangu/RJ,VillaNovaA.c./MG
196,Desportiva/ES,Portuguesa/SP
197,RedBullBrasil/SP,EspiritoSanto/ES
198,Boavista/RJ,Caldense/MG
199,Brusque/SC,Operario/PR
200,SãoPaulo/RS,XvdePiracicaba/SP
201,SaoBernardo/SP,NovoHamburgo/RS
202,FozdoIguaçu/PR,Internacional/SC
203,Pstc/PR,Metropolitano/SC
204,SãoJosé/RS,Ituano/SP
205,Urt/MG,Portuguesa/RJ
206,Brusque/SC,SãoJosé/RS
207,Desportiva/ES,Operario/PR
208,Altos/PI,Santos/AP
209,Metropolitano/SC,SaoBernardo/SP
210,Aparecidense/GO,AméricadeNatal/RN
211,Maranhão/MA,RioBranco/AC
212,Sousa/PB,GuaranydeSobral/CE
213,Parnahyba/PI,Globo/RN
214,JacobinaEc/BA,Juazeirense/BA
215,Comercial/MS,Ceilândia/DF
216,VillaNovaA.c./MG,UniãodeRondonópolis/MT
217,EspiritoSanto/ES,Boavista/RJ
218,PrincesadoSolimões/AM,Gurupi/TO
219,Campinense/PB,FluminensedeFeira/BA
220,S.francisco/PA,Atlético/AC
221,Boavista/RJ,EspiritoSanto/ES
222,SaoBernardo/SP,Metropolitano/SC
223,SãoJosé/RS,Brusque/SC
224,Ceilândia/DF,Comercial/MS
225,AméricadeNatal/RN,Aparecidense/GO
226,Juazeirense/BA,JacobinaEc/BA
227,Atlético/AC,S.francisco/PA
228,Portuguesa/RJ,Urt/MG
229,Operario/PR,Desportiva/ES
230,FluminensedeFeira/BA,Campinense/PB
231,Santos/AP,Altos/PI
232,Globo/RN,Parnahyba/PI
233,Gurupi/TO,PrincesadoSolimões/AM
234,RioBranco/AC,Maranhão/MA
236,UniãodeRondonópolis/MT,VillaNovaA.c./MG
237,SãoJosé/RS,SaoBernardo/SP
238,Ceilândia/DF,AméricadeNatal/RN
239,EspiritoSanto/ES,Operario/PR
240,Maranhão/MA,Santos/AP
241,GuaranydeSobral/CE,Globo/RN
242,FluminensedeFeira/BA,Juazeirense/BA
243,Urt/MG,VillaNovaA.c./MG
244,Gurupi/TO,Atlético/AC
245,AméricadeNatal/RN,Ceilândia/DF
247,Juazeirense/BA,FluminensedeFeira/BA
249,VillaNovaA.c./MG,Urt/MG
251,Globo/RN,GuaranydeSobral/CE
252,Atlético/AC,Gurupi/TO
253,SãoJosé/RS,Atlético/AC
254,Juazeirense/BA,AméricadeNatal/RN
255,Urt/MG,Globo/RN
256,Maranhão/MA,Operario/PR
258,AméricadeNatal/RN,Juazeirense/BA
259,Atlético/AC,SãoJosé/RS
260,Operario/PR,Maranhão/MA
261,Juazeirense/BA,Globo/RN
262,Atlético/AC,Operario/PR
263,Globo/RN,Juazeirense/BA
264,Operario/PR,Atlético/AC
265,Globo/RN,Operario/PR
266,Operario/PR,Globo/RN
