CBF,In,Out,Nº,Clube
172028,00:00 - 1T,45:00 - 2T,1,Atlético/GO
156659,00:00 - 1T,45:00 - 2T,1,Atlético/MG
305961,00:00 - 1T,31:00 - 2T,2,Atlético/GO
181262,00:00 - 1T,45:00 - 2T,5,Atlético/MG
184174,00:00 - 1T,45:00 - 2T,3,Atlético/GO
159607,00:00 - 1T,45:00 - 2T,8,Atlético/MG
188660,00:00 - 1T,45:00 - 2T,4,Atlético/GO
148994,00:00 - 1T,45:00 - 2T,9,Atlético/MG
345210,00:00 - 1T,45:00 - 2T,5,Atlético/GO
540839,00:00 - 1T,38:00 - 2T,10,Atlético/MG
333975,00:00 - 1T,45:00 - 2T,6,Atlético/GO
172685,00:00 - 1T,45:00 - 2T,21,Atlético/MG
178891,00:00 - 1T,45:00 - 2T,7,Atlético/GO
345933,00:00 - 1T,45:00 - 2T,29,Atlético/MG
305811,00:00 - 1T,29:00 - 2T,8,Atlético/GO
318309,00:00 - 1T,45:00 - 2T,30,Atlético/MG
330015,00:00 - 1T,16:00 - 2T,10,Atlético/GO
347221,00:00 - 1T,45:00 - 2T,31,Atlético/MG
329055,00:00 - 1T,45:00 - 2T,11,Atlético/GO
500272,00:00 - 1T,INT,36,Atlético/MG
179832,00:00 - 1T,45:00 - 2T,18,Atlético/GO
307366,00:00 - 1T,INT,92,Atlético/MG
152954,INT,45:00 - 2T,7,Atlético/MG
328820,INT,45:00 - 2T,23,Atlético/MG
298793,16:00 - 2T,45:00 - 2T,17,Atlético/GO
451607,29:00 - 2T,45:00 - 2T,19,Atlético/GO
340169,31:00 - 2T,45:00 - 2T,13,Atlético/GO
