CBF,In,Out,Nº,Clube
351526,00:00 - 1T,45:00 - 2T,1,Guarani/SP
178321,00:00 - 1T,45:00 - 2T,1,Boa/MG
502001,00:00 - 1T,45:00 - 2T,2,Guarani/SP
179928,00:00 - 1T,45:00 - 2T,2,Boa/MG
400192,00:00 - 1T,45:00 - 2T,3,Guarani/SP
313534,00:00 - 1T,45:00 - 2T,3,Boa/MG
166943,00:00 - 1T,45:00 - 2T,4,Guarani/SP
188729,00:00 - 1T,45:00 - 2T,4,Boa/MG
313937,00:00 - 1T,45:00 - 2T,5,Guarani/SP
358911,00:00 - 1T,45:00 - 2T,5,Boa/MG
393868,00:00 - 1T,45:00 - 2T,6,Guarani/SP
451817,00:00 - 1T,45:00 - 2T,6,Boa/MG
179100,00:00 - 1T,45:00 - 2T,7,Guarani/SP
316173,00:00 - 1T,45:00 - 2T,7,Boa/MG
312438,00:00 - 1T,INT,8,Guarani/SP
170488,00:00 - 1T,45:00 - 2T,8,Boa/MG
374375,00:00 - 1T,45:00 - 2T,9,Guarani/SP
189081,00:00 - 1T,22:00 - 2T,9,Boa/MG
183844,00:00 - 1T,45:00 - 2T,10,Guarani/SP
363149,00:00 - 1T,INT,10,Boa/MG
314287,00:00 - 1T,40:00 - 2T,11,Guarani/SP
432166,00:00 - 1T,16:00 - 2T,11,Boa/MG
352481,INT,45 - 2T,18,Guarani/SP
308190,INT,45 - 2T,18,Boa/MG
453528,16:00 - 2T,45 - 2T,20,Boa/MG
187984,22:00 - 2T,45 - 2T,19,Boa/MG
398332,40:00 - 2T,45 - 2T,16,Guarani/SP
338185,45:00 - 2T,45 - 2T,19,Guarani/SP
