CBF,In,Out,Nº,Clube
191609,00:00 - 1T,45:00 - 2T,1,Avaí/SC
177010,00:00 - 1T,45:00 - 2T,38,Figueirense/SC
183977,00:00 - 1T,45:00 - 2T,2,Avaí/SC
178723,00:00 - 1T,45:00 - 2T,2,Figueirense/SC
143829,00:00 - 1T,45:00 - 2T,3,Avaí/SC
137982,00:00 - 1T,45:00 - 2T,3,Figueirense/SC
154989,00:00 - 1T,45:00 - 2T,4,Avaí/SC
380745,00:00 - 1T,43:00 - 2T,7,Figueirense/SC
419908,00:00 - 1T,45:00 - 2T,5,Avaí/SC
159341,00:00 - 1T,45:00 - 2T,8,Figueirense/SC
305959,00:00 - 1T,45:00 - 2T,6,Avaí/SC
185680,00:00 - 1T,45:00 - 2T,9,Figueirense/SC
181190,00:00 - 1T,18:00 - 2T,7,Avaí/SC
303718,00:00 - 1T,20:00 - 2T,27,Figueirense/SC
182621,00:00 - 1T,45:00 - 2T,8,Avaí/SC
175560,00:00 - 1T,07:00 - 2T,28,Figueirense/SC
156079,00:00 - 1T,45:00 - 2T,10,Avaí/SC
507527,00:00 - 1T,45:00 - 2T,36,Figueirense/SC
296337,00:00 - 1T,45:00 - 2T,11,Avaí/SC
380325,00:00 - 1T,45:00 - 2T,55,Figueirense/SC
154497,00:00 - 1T,34:00 - 2T,99,Avaí/SC
312015,00:00 - 1T,45:00 - 2T,59,Figueirense/SC
188643,07:00 - 2T,45:00 - 2T,20,Figueirense/SC
141880,18:00 - 2T,45:00 - 2T,9,Avaí/SC
311033,20:00 - 2T,45:00 - 2T,12,Figueirense/SC
137798,34:00 - 2T,45:00 - 2T,17,Avaí/SC
306852,43:00 - 2T,45:00 - 2T,99,Figueirense/SC
