CBF,In,Out,Nº,Clube
159238,00:00 - 1T,45:00 - 2T,1,Flamengo/RJ
169050,00:00 - 1T,45:00 - 2T,21,Palmeiras/SP
316645,00:00 - 1T,14:00 - 2T,3,Flamengo/RJ
176390,00:00 - 1T,45:00 - 2T,2,Palmeiras/SP
674105,00:00 - 1T,45:00 - 2T,4,Flamengo/RJ
300140,00:00 - 1T,45:00 - 2T,4,Palmeiras/SP
293420,00:00 - 1T,45:00 - 2T,5,Flamengo/RJ
339876,00:00 - 1T,45:00 - 2T,6,Palmeiras/SP
177444,00:00 - 1T,45:00 - 2T,7,Flamengo/RJ
291738,00:00 - 1T,45:00 - 2T,7,Palmeiras/SP
310733,00:00 - 1T,45:00 - 2T,8,Flamengo/RJ
165924,00:00 - 1T,45:00 - 2T,10,Palmeiras/SP
337830,00:00 - 1T,45:00 - 2T,9,Flamengo/RJ
633571,00:00 - 1T,45:00 - 2T,15,Palmeiras/SP
161656,00:00 - 1T,45:00 - 2T,13,Flamengo/RJ
292132,00:00 - 1T,36:00 - 2T,19,Palmeiras/SP
521990,00:00 - 1T,24:00 - 2T,14,Flamengo/RJ
166061,00:00 - 1T,15:00 - 2T,29,Palmeiras/SP
156447,00:00 - 1T,45:00 - 2T,16,Flamengo/RJ
150801,00:00 - 1T,45:00 - 2T,30,Palmeiras/SP
401839,00:00 - 1T,40:00 - 2T,27,Flamengo/RJ
320263,00:00 - 1T,INT,35,Palmeiras/SP
308405,INT,45 - 2T,23,Palmeiras/SP
372902,14:00 - 2T,45 - 2T,26,Flamengo/RJ
313426,15:00 - 2T,45 - 2T,14,Palmeiras/SP
633626,24:00 - 2T,45 - 2T,25,Flamengo/RJ
173180,36:00 - 2T,45 - 2T,17,Palmeiras/SP
565602,40:00 - 2T,45 - 2T,28,Flamengo/RJ
