CBF,In,Out,Nº,Clube
146379,00:00 - 1T,45:00 - 2T,1,Botafogo/PB
173056,00:00 - 1T,45:00 - 2T,1,SampaioCorrea/MA
183732,00:00 - 1T,45:00 - 2T,4,Botafogo/PB
296748,00:00 - 1T,45:00 - 2T,2,SampaioCorrea/MA
142928,00:00 - 1T,45:00 - 2T,10,Botafogo/PB
368796,00:00 - 1T,45:00 - 2T,3,SampaioCorrea/MA
293090,00:00 - 1T,INT,11,Botafogo/PB
371018,00:00 - 1T,45:00 - 2T,4,SampaioCorrea/MA
336531,00:00 - 1T,45:00 - 2T,14,Botafogo/PB
401228,00:00 - 1T,45:00 - 2T,5,SampaioCorrea/MA
298633,00:00 - 1T,25:00 - 2T,15,Botafogo/PB
157314,00:00 - 1T,45:00 - 2T,6,SampaioCorrea/MA
182088,00:00 - 1T,20:00 - 2T,19,Botafogo/PB
355600,00:00 - 1T,45:00 - 2T,7,SampaioCorrea/MA
292998,00:00 - 1T,45:00 - 2T,20,Botafogo/PB
293501,00:00 - 1T,45:00 - 2T,8,SampaioCorrea/MA
306140,00:00 - 1T,45:00 - 2T,21,Botafogo/PB
176302,00:00 - 1T,45:00 - 2T,9,SampaioCorrea/MA
183073,00:00 - 1T,45:00 - 2T,22,Botafogo/PB
346926,00:00 - 1T,45:00 - 2T,10,SampaioCorrea/MA
172933,00:00 - 1T,45:00 - 2T,23,Botafogo/PB
363480,00:00 - 1T,45:00 - 2T,11,SampaioCorrea/MA
317025,INT,45 - 2T,25,Botafogo/PB
326682,20:00 - 2T,45 - 2T,18,Botafogo/PB
161974,25:00 - 2T,45 - 2T,6,Botafogo/PB
