CBF,In,Out,Nº,Clube
311099,00:00 - 1T,45:00 - 2T,1,Luverdense/MT
136672,00:00 - 1T,45:00 - 2T,1,Ceará/CE
291963,00:00 - 1T,45:00 - 2T,2,Luverdense/MT
366093,00:00 - 1T,45:00 - 2T,2,Ceará/CE
169816,00:00 - 1T,45:00 - 2T,3,Luverdense/MT
172036,00:00 - 1T,45:00 - 2T,3,Ceará/CE
183631,00:00 - 1T,45:00 - 2T,4,Luverdense/MT
300886,00:00 - 1T,45:00 - 2T,4,Ceará/CE
151167,00:00 - 1T,45:00 - 2T,5,Luverdense/MT
180842,00:00 - 1T,45:00 - 2T,5,Ceará/CE
171807,00:00 - 1T,45:00 - 2T,6,Luverdense/MT
309431,00:00 - 1T,45:00 - 2T,6,Ceará/CE
178005,00:00 - 1T,45:00 - 2T,7,Luverdense/MT
162278,00:00 - 1T,45:00 - 2T,7,Ceará/CE
178833,00:00 - 1T,26:00 - 2T,8,Luverdense/MT
169114,00:00 - 1T,45:00 - 2T,8,Ceará/CE
178381,00:00 - 1T,45:00 - 2T,9,Luverdense/MT
163063,00:00 - 1T,38:00 - 1T,9,Ceará/CE
335599,00:00 - 1T,35:00 - 2T,10,Luverdense/MT
297441,00:00 - 1T,14:00 - 2T,10,Ceará/CE
387313,00:00 - 1T,11:00 - 2T,11,Luverdense/MT
161253,00:00 - 1T,35:00 - 2T,11,Ceará/CE
172314,38:00 - 1T,45:00 - 2T,15,Ceará/CE
177093,11:00 - 2T,45:00 - 2T,16,Luverdense/MT
172933,14:00 - 2T,45:00 - 2T,17,Ceará/CE
308883,26:00 - 2T,45:00 - 2T,15,Luverdense/MT
305973,35:00 - 2T,45:00 - 2T,18,Luverdense/MT
312048,35:00 - 2T,45:00 - 2T,18,Ceará/CE
