CBF,In,Out,Nº,Clube
309585,00:00 - 1T,45:00 - 2T,1,Brasil/RS
168926,00:00 - 1T,45:00 - 2T,1,Oeste/SP
171685,00:00 - 1T,45:00 - 2T,2,Brasil/RS
412518,00:00 - 1T,45:00 - 2T,2,Oeste/SP
165939,00:00 - 1T,45:00 - 2T,3,Brasil/RS
346815,00:00 - 1T,45:00 - 2T,3,Oeste/SP
185586,00:00 - 1T,45:00 - 2T,4,Brasil/RS
310842,00:00 - 1T,45:00 - 2T,4,Oeste/SP
146430,00:00 - 1T,16:00 - 2T,5,Brasil/RS
294996,00:00 - 1T,45:00 - 2T,5,Oeste/SP
391300,00:00 - 1T,45:00 - 2T,6,Brasil/RS
406111,00:00 - 1T,45:00 - 2T,6,Oeste/SP
394823,00:00 - 1T,25:00 - 2T,7,Brasil/RS
159419,00:00 - 1T,45:00 - 2T,7,Oeste/SP
465413,00:00 - 1T,45:00 - 2T,8,Brasil/RS
376217,00:00 - 1T,18:00 - 1T,8,Oeste/SP
336063,00:00 - 1T,45:00 - 2T,9,Brasil/RS
432298,00:00 - 1T,45:00 - 2T,9,Oeste/SP
160174,00:00 - 1T,INT,10,Brasil/RS
181254,00:00 - 1T,45:00 - 2T,10,Oeste/SP
174754,00:00 - 1T,45:00 - 2T,11,Brasil/RS
512737,00:00 - 1T,25:00 - 2T,11,Oeste/SP
184176,INT,45:00 - 2T,20,Brasil/RS
178044,18:00 - 1T,45:00 - 2T,14,Oeste/SP
190032,16:00 - 2T,45:00 - 2T,19,Brasil/RS
440721,25:00 - 2T,45:00 - 2T,17,Brasil/RS
308275,25:00 - 2T,45:00 - 2T,17,Oeste/SP
322407,45:00 - 2T,45:00 - 2T,18,Oeste/SP
