CBF,In,Out,Nº,Clube
137433,00:00 - 1T,45:00 - 2T,1,Tupi/MG
143611,00:00 - 1T,45:00 - 2T,1,Caxias/RS
145757,00:00 - 1T,45:00 - 2T,2,Tupi/MG
303972,00:00 - 1T,45:00 - 2T,2,Caxias/RS
299156,00:00 - 1T,45:00 - 2T,3,Tupi/MG
185785,00:00 - 1T,45:00 - 2T,3,Caxias/RS
295473,00:00 - 1T,45:00 - 2T,4,Tupi/MG
143037,00:00 - 1T,45:00 - 2T,4,Caxias/RS
151497,00:00 - 1T,45:00 - 2T,5,Tupi/MG
176526,00:00 - 1T,45:00 - 2T,5,Caxias/RS
136053,00:00 - 1T,45:00 - 2T,6,Tupi/MG
303035,00:00 - 1T,45:00 - 2T,6,Caxias/RS
185860,00:00 - 1T,45:00 - 2T,7,Tupi/MG
160427,00:00 - 1T,32:00 - 2T,7,Caxias/RS
373420,00:00 - 1T,45:00 - 2T,8,Tupi/MG
170128,00:00 - 1T,45:00 - 2T,8,Caxias/RS
155533,00:00 - 1T,36:00 - 2T,10,Tupi/MG
178301,00:00 - 1T,45:00 - 2T,9,Caxias/RS
323819,00:00 - 1T,26:00 - 2T,11,Tupi/MG
303714,00:00 - 1T,INT,10,Caxias/RS
291699,00:00 - 1T,15:00 - 2T,20,Tupi/MG
172686,00:00 - 1T,18:00 - 2T,11,Caxias/RS
296887,INT,45 - 2T,16,Caxias/RS
302814,15:00 - 2T,45 - 2T,97,Tupi/MG
145301,18:00 - 2T,45 - 2T,18,Caxias/RS
307111,26:00 - 2T,45 - 2T,19,Tupi/MG
344098,32:00 - 2T,45 - 2T,13,Caxias/RS
178352,36:00 - 2T,45 - 2T,17,Tupi/MG
