Campeonato:,Campeonato Brasileiro - Série D/2021,,Rodada:,Volta
Jogo:,Cianorte / PR X Fc Cascavel / PR,,,
Data:,12/09/2021 Horário: 16:00 Estádio:,Albino Turbay / Cianorte,,
"",,Arbitragem
Arbitro:,William Machado Steffen (AB / SC),
Arbitro Assistente 1:,Jose Roberto Larroyd (CD / SC),
Arbitro Assistente 2:,Gizeli Casaril (AB / SC),
Quarto Arbitro:,Elvio Kertelt Legnani (CD / PR),
Analista de Campo:,Antonio Marcos Camargo de Andrade (CBF / PR),
"",,,Cronologia,,,
"",1o Tempo,,2o Tempo,,,
Entrada do mandante:,15:55Atraso:,,Não Houve Entrada do mandante: 17:00,,Atraso:,Não Houve
Entrada do visitante:,15:56Atraso:,,Não Houve Entrada do visitante: 17:01,,Atraso:,Não Houve
Início 1o Tempo:,16:00Atraso:,,Não Houve Início do 2o Tempo: 17:03,,Atraso:,Não Houve
Término do 1o Tempo:,16:48Acréscimo:,,3 min Término do 2o Tempo: 17:54,Acréscimo:,,6 min
Resultado do 1o Tempo: 0 X 0,,,Resultado Final: 0 X 0,,,
"",,,,,Relação de Jogadores,,,,
"",,Cianorte / PR,,,,Fc Cascavel / PR,,,
No,Apelido,Nome Completo T/R,,P/A,CBF No Apelido,Nome Completo,T/R,P/A,CBF
1,Bruno,Bruno Pianissolla T(g),,P,174237 2 Henrique,Henrique Fernandes C ...,T,P,186104
2,Bruno Leite,Bruno Marciano Leite T,,P,300450 3 Afonso,Stephannyo Afonso Lo ...,T,P,330690
3,Edu Doma,Eduardo Vinicius Dom ... T,,P,456246 4 Willian,Willian da Silva Gom ...,T,P,179650
4,Mauricio,Mauricio da Silva Di ... T,,P,333809 5 Lucas Oliv ...,Lucas Oliveira dos Santos,T,P,378253
5,Escobar,Jonata Escobar T,,P,188207 6 Wilian,Wilian Simoes,T,P,187522
6,Patric,Itaro Patric Cardoso ... T,,P,357487 7 Marcelo,Marcelo Gama Ramos,T,P,454694
7,Lucas,Dirceu Lucas de Abre ... T,,P,293720 8 Robinho,Robson Ferreira de A ...,T,P,379134
8,Jose Vitor,Jose Vitor Leal Silv ... T,,P,520620 9 Carlos,Carlos Henrique Alve ...,T,P,348899
9,Lucas,Lucas Rulian Lamoglia T,,P,296314 10 Joao Pedro,Joao Pedro Heinen Silva,T,P,380762
10,Erick Salles,Erick Lender Salles T,,P,322960 11 Léo Itape ...,Leonardo de Oliveira ...,T,P,184221
11,Buba,Wesley Danilo Morais ... T,,P,317502 40 Luis Augusto,Luis Augusto Santos  ...,T,P,354220
12,Silvio,Silvio Silas da Silv ... R(g),,P,172168 33 Douglas,Douglas Faria Marques,R(g),P,350981
13,Vitor Salv ...,Vitor Vericimo Salvador R,,P,394716 14 Diego,Diego da Silva Giaretta,R,P,158675
14,Itambé,Carlos Eduardo Ponte ... R,,P,631286 16 Carlos,Carlos Henrique de Lima,R,P,525583
