CBF,In,Out,Nº,Clube
177948,00:00 - 1T,45:00 - 2T,22,Juventude/RS
177853,00:00 - 1T,45:00 - 2T,1,Cuiabá/MT
646848,00:00 - 1T,45:00 - 2T,3,Juventude/RS
530965,00:00 - 1T,INT,2,Cuiabá/MT
179974,00:00 - 1T,45:00 - 2T,9,Juventude/RS
299840,00:00 - 1T,45:00 - 2T,3,Cuiabá/MT
432391,00:00 - 1T,31:00 - 2T,11,Juventude/RS
293393,00:00 - 1T,45:00 - 2T,4,Cuiabá/MT
302192,00:00 - 1T,31:00 - 2T,16,Juventude/RS
341763,00:00 - 1T,INT,5,Cuiabá/MT
154127,00:00 - 1T,INT,20,Juventude/RS
175320,00:00 - 1T,45:00 - 2T,6,Cuiabá/MT
525042,00:00 - 1T,45:00 - 2T,34,Juventude/RS
302451,00:00 - 1T,25:00 - 2T,7,Cuiabá/MT
291317,00:00 - 1T,45:00 - 2T,66,Juventude/RS
387971,00:00 - 1T,45:00 - 2T,8,Cuiabá/MT
340115,00:00 - 1T,INT,78,Juventude/RS
162905,00:00 - 1T,12:00 - 2T,9,Cuiabá/MT
511021,00:00 - 1T,42:00 - 2T,96,Juventude/RS
376734,00:00 - 1T,45:00 - 2T,10,Cuiabá/MT
516214,00:00 - 1T,45:00 - 2T,99,Juventude/RS
313001,00:00 - 1T,35:00 - 2T,11,Cuiabá/MT
527028,INT,45:00 - 2T,29,Juventude/RS
611634,INT,45:00 - 2T,77,Juventude/RS
307979,INT,45:00 - 2T,17,Cuiabá/MT
376828,INT,45:00 - 2T,13,Cuiabá/MT
305521,12:00 - 2T,45:00 - 2T,18,Cuiabá/MT
432201,25:00 - 2T,45:00 - 2T,21,Cuiabá/MT
326622,31:00 - 2T,45:00 - 2T,23,Juventude/RS
179880,31:00 - 2T,45:00 - 2T,19,Juventude/RS
170178,35:00 - 2T,45:00 - 2T,14,Cuiabá/MT
730647,42:00 - 2T,45:00 - 2T,30,Juventude/RS
