CBF,In,Out,Nº,Clube
510205,00:00 - 1T,45:00 - 2T,1,Galvez/AC
170161,00:00 - 1T,45:00 - 2T,1,Penarol/AM
181557,00:00 - 1T,45:00 - 2T,2,Galvez/AC
355541,00:00 - 1T,45:00 - 2T,2,Penarol/AM
415332,00:00 - 1T,45:00 - 2T,3,Galvez/AC
318335,00:00 - 1T,45:00 - 2T,3,Penarol/AM
321903,00:00 - 1T,45:00 - 2T,4,Galvez/AC
430434,00:00 - 1T,26:00 - 2T,4,Penarol/AM
591011,00:00 - 1T,INT,5,Galvez/AC
301162,00:00 - 1T,28:00 - 1T,5,Penarol/AM
537609,00:00 - 1T,45:00 - 2T,6,Galvez/AC
454793,00:00 - 1T,45:00 - 2T,6,Penarol/AM
367541,00:00 - 1T,14:00 - 2T,7,Galvez/AC
384922,00:00 - 1T,26:00 - 2T,7,Penarol/AM
371824,00:00 - 1T,41:00 - 2T,8,Galvez/AC
526599,00:00 - 1T,45:00 - 2T,8,Penarol/AM
355336,00:00 - 1T,14:00 - 2T,9,Galvez/AC
307065,00:00 - 1T,16:00 - 2T,9,Penarol/AM
415053,00:00 - 1T,INT,10,Galvez/AC
341612,00:00 - 1T,45:00 - 2T,10,Penarol/AM
372811,00:00 - 1T,45:00 - 2T,11,Galvez/AC
330590,00:00 - 1T,16:00 - 2T,11,Penarol/AM
550859,INT,45:00 - 2T,18,Galvez/AC
537546,INT,45:00 - 2T,15,Galvez/AC
453716,28:00 - 1T,45:00 - 2T,13,Penarol/AM
702835,14:00 - 2T,45:00 - 2T,19,Galvez/AC
531603,14:00 - 2T,45:00 - 2T,16,Galvez/AC
605301,16:00 - 2T,45:00 - 2T,17,Penarol/AM
418591,16:00 - 2T,45:00 - 2T,18,Penarol/AM
405825,26:00 - 2T,45:00 - 2T,16,Penarol/AM
449860,26:00 - 2T,45:00 - 2T,14,Penarol/AM
694472,41:00 - 2T,45:00 - 2T,17,Galvez/AC
