CBF,In,Out,Nº,Clube
296640,00:00 - 1T,45:00 - 2T,1,SantaCruz/PE
325261,00:00 - 1T,45:00 - 2T,1,Náutico/PE
183096,00:00 - 1T,45:00 - 2T,3,SantaCruz/PE
456114,00:00 - 1T,45:00 - 2T,7,Náutico/PE
339225,00:00 - 1T,45:00 - 2T,4,SantaCruz/PE
430039,00:00 - 1T,INT,11,Náutico/PE
308525,00:00 - 1T,45:00 - 2T,6,SantaCruz/PE
308068,00:00 - 1T,45:00 - 2T,30,Náutico/PE
403850,00:00 - 1T,45:00 - 2T,7,SantaCruz/PE
424585,00:00 - 1T,45:00 - 2T,31,Náutico/PE
305393,00:00 - 1T,45:00 - 2T,8,SantaCruz/PE
175130,00:00 - 1T,45:00 - 2T,55,Náutico/PE
166671,00:00 - 1T,45:00 - 2T,9,SantaCruz/PE
174220,00:00 - 1T,45:00 - 2T,69,Náutico/PE
340936,00:00 - 1T,45:00 - 2T,10,SantaCruz/PE
306025,00:00 - 1T,45:00 - 2T,72,Náutico/PE
174372,00:00 - 1T,45:00 - 2T,11,SantaCruz/PE
191513,00:00 - 1T,45:00 - 2T,90,Náutico/PE
154374,00:00 - 1T,45:00 - 2T,12,SantaCruz/PE
402646,00:00 - 1T,36:00 - 2T,96,Náutico/PE
532045,00:00 - 1T,45:00 - 2T,20,SantaCruz/PE
410340,00:00 - 1T,45:00 - 2T,97,Náutico/PE
372006,INT,36:00 - 2T,99,Náutico/PE
324503,36:00 - 2T,45 - 2T,93,Náutico/PE
165864,36:00 - 2T,45 - 2T,4,Náutico/PE
