CBF,In,Out,Nº,Clube
187255,00:00 - 1T,45:00 - 2T,1,Tupynambas/MG
169985,00:00 - 1T,45:00 - 2T,1,Atlético/BA
547979,00:00 - 1T,INT,2,Tupynambas/MG
309254,00:00 - 1T,10:00 - 2T,2,Atlético/BA
392691,00:00 - 1T,45:00 - 2T,3,Tupynambas/MG
367273,00:00 - 1T,45:00 - 2T,3,Atlético/BA
387941,00:00 - 1T,45:00 - 2T,5,Tupynambas/MG
432784,00:00 - 1T,45:00 - 2T,4,Atlético/BA
316058,00:00 - 1T,45:00 - 2T,6,Tupynambas/MG
460288,00:00 - 1T,45:00 - 2T,5,Atlético/BA
310823,00:00 - 1T,INT,7,Tupynambas/MG
394353,00:00 - 1T,45:00 - 2T,7,Atlético/BA
376454,00:00 - 1T,16:00 - 2T,8,Tupynambas/MG
350031,00:00 - 1T,45:00 - 2T,8,Atlético/BA
324550,00:00 - 1T,45:00 - 2T,9,Tupynambas/MG
437277,00:00 - 1T,26:00 - 2T,11,Atlético/BA
328335,00:00 - 1T,INT,10,Tupynambas/MG
350705,00:00 - 1T,45:00 - 2T,20,Atlético/BA
188077,00:00 - 1T,45:00 - 2T,13,Tupynambas/MG
367535,00:00 - 1T,45:00 - 2T,22,Atlético/BA
174372,00:00 - 1T,45:00 - 2T,15,Tupynambas/MG
164664,00:00 - 1T,40:00 - 2T,50,Atlético/BA
376053,INT,45 - 2T,18,Tupynambas/MG
525607,INT,45 - 2T,20,Tupynambas/MG
401780,INT,45 - 2T,14,Tupynambas/MG
547047,10:00 - 2T,45 - 2T,19,Atlético/BA
543707,16:00 - 2T,45 - 2T,16,Tupynambas/MG
538421,26:00 - 2T,45 - 2T,17,Atlético/BA
353864,40:00 - 2T,45 - 2T,9,Atlético/BA
