CBF,In,Out,Nº,Clube
155426,00:00 - 1T,45:00 - 2T,1,Criciúma/SC
168281,00:00 - 1T,45:00 - 2T,1,Oeste/SP
183840,00:00 - 1T,45:00 - 2T,6,Criciúma/SC
308548,00:00 - 1T,38:00 - 2T,2,Oeste/SP
170540,00:00 - 1T,12:00 - 2T,8,Criciúma/SC
406069,00:00 - 1T,45:00 - 2T,5,Oeste/SP
175913,00:00 - 1T,37:00 - 2T,10,Criciúma/SC
349177,00:00 - 1T,45:00 - 2T,6,Oeste/SP
132142,00:00 - 1T,31:00 - 2T,13,Criciúma/SC
159419,00:00 - 1T,34:00 - 2T,7,Oeste/SP
341715,00:00 - 1T,45:00 - 2T,16,Criciúma/SC
376217,00:00 - 1T,26:00 - 2T,8,Oeste/SP
392562,00:00 - 1T,45:00 - 2T,19,Criciúma/SC
432298,00:00 - 1T,45:00 - 2T,9,Oeste/SP
527941,00:00 - 1T,45:00 - 2T,20,Criciúma/SC
181254,00:00 - 1T,45:00 - 2T,10,Oeste/SP
310802,00:00 - 1T,45:00 - 2T,34,Criciúma/SC
310101,00:00 - 1T,45:00 - 2T,11,Oeste/SP
340535,00:00 - 1T,45:00 - 2T,77,Criciúma/SC
165775,00:00 - 1T,45:00 - 2T,25,Oeste/SP
168982,00:00 - 1T,45:00 - 2T,99,Criciúma/SC
297414,00:00 - 1T,45:00 - 2T,31,Oeste/SP
312048,12:00 - 2T,45 - 2T,22,Criciúma/SC
183975,26:00 - 2T,45 - 2T,21,Oeste/SP
340073,31:00 - 2T,45 - 2T,31,Criciúma/SC
352481,34:00 - 2T,45 - 2T,17,Oeste/SP
178943,37:00 - 2T,45 - 2T,15,Criciúma/SC
406706,38:00 - 2T,45 - 2T,18,Oeste/SP
