Campeonato:,Campeonato Brasileiro - Série A/2021,,Rodada:,32
Jogo:,Atlético / GO X Santos / SP,,,
Data:,13/11/2021 Horário: 17:00 Estádio:,Antônio Accioly / Goiania,,
"",,Arbitragem
Arbitro:,Felipe Fernandes de Lima (AB / MG),
Arbitro Assistente 1:,Felipe Alan Costa de Oliveira (AB / MG),
Arbitro Assistente 2:,Celso Luiz da Silva (AB / MG),
Quarto Arbitro:,Osimar Moreira da Silva Junior (CD / GO),
Delegado Local:,Adalberto Grecco (CBF / GO),
Analista de Campo:,Vicente de Paula da Silva Moraes (CBF / GO),
VAR:,Emerson de Almeida Ferreira (AB / MG),
"",,,,Cronologia,,,
"",1o Tempo,,,2o Tempo,,,
Entrada do mandante:,17:01Atraso:,,10 min,Entrada do mandante: 18:10,,Atraso:,Não Houve
Entrada do visitante:,17:01Atraso:,,10 min,Entrada do visitante: 18:09,,Atraso:,Não Houve
Início 1o Tempo:,17:10Atraso:,,10 min,Início do 2o Tempo: 18:13,,Atraso:,Não Houve
Término do 1o Tempo:,17:58Acréscimo:,,3 min,Término do 2o Tempo: 19:02,Acréscimo:,,4 min
Resultado do 1o Tempo: 0 X 0,,,,Resultado Final: 0 X 0,,,
"",,,,,Relação de Jogadores,,,,
"",,Atlético / GO,,,,Santos / SP,,,
No,Apelido,Nome Completo T/R,,P/A,CBF No Apelido,Nome Completo,T/R,P/A,CBF
1,Fernando M ...,Fernando Miguel KaufmannT(g),,P,159684 34 Joao Paulo,Joao Paulo Silva Martins,T(g),P,362877
2,Dudu,Luis Eduardo Marques ... T,,P,405061 2 Luiz,Luiz Felipe do Nasci ...,T,P,354299
3,Wanderson,Wanderson Santos Pereira T,,P,300394 3 Felipe,Felipe Jonatan Rocha ...,T,P,373768
4,Pedro,Pedro Henrique Perei ... T,,P,338777 13 Madson,Madson Ferreira dos  ...,T,P,321829
5,Willian Ma ...,Willian Marlon Ferre ... T,,P,421180 20 Gabriel,Gabriel Cordeiro Pirani,T,P,541294
6,Igor Carius,Igor Aquino da Silva T,,P,421778 22 Danilo,Danilo Boza Junior,T,P,456006
7,Andre Luis,Andre Luis da Costa  ... T,,P,321636 23 Marcos Gui ...,Marcos Guilherme de  ...,T,P,295821
8,Marlon Fre ...,Marlon Rodrigues Freitas T,,P,405713 25 Zanocelo,Vinicius Nelson de S ...,T,P,543163
