Competição,Ano,Jogo
Copa do Brasil,2020,287
Serie C,2020,288
Copa do Brasil,2020,288
Serie C,2020,289
Copa do Brasil,2020,289
Serie C,2020,290
Copa do Brasil,2020,290
Serie C,2020,291
Copa do Brasil,2020,291
Serie C,2020,292
Copa do Brasil,2020,292
Serie C,2020,293
Copa do Brasil,2020,293
Serie C,2020,294
Copa do Brasil,2020,294
Serie C,2020,295
Copa do Brasil,2020,295
Serie C,2020,296
Copa do Brasil,2020,296
Serie C,2020,297
Copa do Brasil,2020,297
Serie C,2020,298
Copa do Brasil,2020,298
Serie C,2020,299
Copa do Brasil,2020,299
Serie C,2020,300
Copa do Brasil,2020,300
Serie C,2020,301
Copa do Brasil,2020,301
Serie C,2020,302
Copa do Brasil,2020,302
Serie C,2020,303
Copa do Brasil,2020,303
Serie C,2020,304
Copa do Brasil,2020,304
Serie C,2020,305
Copa do Brasil,2020,305
Serie C,2020,306
Copa do Brasil,2020,306
Serie C,2020,307
Copa do Brasil,2020,307
Serie C,2020,308
Copa do Brasil,2020,308
Serie C,2020,309
Copa do Brasil,2020,309
Serie C,2020,310
Copa do Brasil,2020,310
Serie C,2020,311
Copa do Brasil,2020,311
Serie C,2020,312
Copa do Brasil,2020,312
Serie C,2020,313
Copa do Brasil,2020,313
Serie C,2020,314
Copa do Brasil,2020,314
Serie C,2020,315
Copa do Brasil,2020,315
Serie C,2020,316
Copa do Brasil,2020,316
Serie C,2020,317
Copa do Brasil,2020,317
Serie C,2020,318
Copa do Brasil,2020,318
Serie C,2020,319
Copa do Brasil,2020,319
Serie C,2020,320
Copa do Brasil,2020,320
Serie C,2020,321
Copa do Brasil,2020,321
Serie C,2020,322
Copa do Brasil,2020,322
Serie C,2020,323
Copa do Brasil,2020,323
Serie C,2020,324
Copa do Brasil,2020,324
Serie C,2020,325
Copa do Brasil,2020,325
Serie C,2020,326
Copa do Brasil,2020,326
Serie C,2020,327
Copa do Brasil,2020,327
Serie C,2020,328
Copa do Brasil,2020,328
Serie C,2020,329
Copa do Brasil,2020,329
Serie C,2020,330
Copa do Brasil,2020,330
Serie C,2020,331
Copa do Brasil,2020,331
Serie C,2020,332
Copa do Brasil,2020,332
Serie C,2020,333
Copa do Brasil,2020,333
Serie C,2020,334
Copa do Brasil,2020,334
Serie C,2020,335
Copa do Brasil,2020,335
Serie C,2020,336
Copa do Brasil,2020,336
Serie C,2020,337
Copa do Brasil,2020,337
Serie C,2020,338
Copa do Brasil,2020,338
Serie C,2020,339
Copa do Brasil,2020,339
Serie C,2020,340
Copa do Brasil,2020,340
Serie C,2020,341
Copa do Brasil,2020,341
Serie C,2020,342
