CBF,Apelido,Nome
348895,Guilherme ...,Guilherme Bitencourt ...
291855,Neto Berola,Sosthenes Jose Santo ...
169940,Welliton,Welliton Soares Morais
131212,Josue,Josue Anunciado de O ...
344221,Lucas,Lucas Heinzen Coelho
175445,Giovanni,Giovanni Aparecido A ...
293695,Moises,Moises Francisco Dal...
147062,Rosinei Ad ...,Rosinei Adolfo
295418,Ramiro,Ramiro Moschen Benetti
169050,Weverton,Weverton Pereira da  ...
160466,Jonas,Jonas Jessue da Silv ...
182423,Messias,Manoel Messias Silva...
322380,Cleberson,Cleberson Martins de ...
182609,Deivid,Deivid Willian da Silva
183902,Pedro Bote ...,Pedro Roberto Silva  ...
174223,Joao Paulo,Joao Paulo da Silva
189538,Felipe,Felipe de Oliveira Silva
185680,Marquinhos,Marcos Assis de Santana
178361,Everton,Everton Cardoso Silva
176522,Ederson,Ederson Alves Ribeir ...
293440,Marcelo Ci ...,Marcelo Cirino da Silva
432122,Francisco,Francisco Merida Perez
303545,Douglas,Douglas Coutinho Gom ...
337261,Adilson,Adilson dos Anjos Ol ...
122631,Paulo Baier,Paulo Cesar Baier
307097,Adryan,Adryan Oliveira Tavares
293428,Aderbar,Aderbar Melo dos San...
130372,Luiz Alber ...,Luiz Alberto da Silv ...
190306,Gideao,Gideao Lima de Castro
178887,Manoel,Manoel Messias Barbo...
293359,Joao Filipe,Joao Filipe Rabelo d...
173742,Willian,William Augusto Alve...
341763,Auremir,Auremir Evangelista ...
175130,Joseilson,Joseilson Batista do...
135288,Luis Ferna ...,Luis Fernando Lojudi...
146475,Rodrigo So ...,Rodrigo Ribeiro Souto
370756,Marcos Vin ...,Marcos Vinicius de J...
291780,Rogerio Jose,Rogerio de Oliv ...
189999,Jones da S ...,Jones da Silva Lopes
172028,Felipe,Felipe Garcia dos Pr...
337194,Joao Ananias,Joao Ananias Jordao ...
314464,Luiz Eduardo,Luiz Eduardo Felix d...
156511,Admilson,Admilson da Anunciac...
166989,Val,Lucivaldo Lazaro de  ...
189739,Hugo,Hugo da Silva Cabral
317827,Samir,Samir Caetano de Sou ...
373724,João Paulo,João Paulo Pereira d...
292500,Herlison,Herlison Caion de So...
292942,Andre Felipe,Andre Felipe Ribeiro ...
419387,Caceres,Victor Javier Cácere...
171406,Rafael Vaz,Rafael Vaz dos Santos
190417,Fillipe So ...,Fillipe Soutto Mayor ...
338625,Luan,Luan Polli Gomes
307366,Marlone Johnath,Marlone Azev...
330660,Nixson,Nixson Darlanio Reis ...
155508,Wilson,Wilson Rodrigues de  ...
107639,Rogerio,Rogerio Ceni
183977,Nino Paraíba,Severino do Ramo Cle ...
128373,Lucio,Lucimar da Silva Fer...
177152,Victor Ramos,Victor Ramos Ferreira
184600,Wellington,Wellington Aparecido...
312462,Gabriel,Gabriel Armando de Abreu
316645,Rodrigo Caio,Rodrigo Caio Coquett...
173357,Michel,Michel Miguel da Silva
184364,Paulo Henr ...,Paulo Henrique Chaga...
173602,Tarracha,Danilo Vettori Amaro
166943,Edson,Edson Jose da Silva
188231,Max,Maximiliano Daniel B ...
177411,Osvaldo,Osvaldo Lourenco Filho
431054,Luis,Luis Enrique Caceres ...
166603,Maicon,Maicon Thiago Pereir...
164237,Dinei,Telmario de Araujo S ...
173538,Aloisio,Aloisio dos Santos G...
158893,Renato Caja,Renato Adriano Jaco  ...
145923,Juan,Juan Maldonado Jaime...
371689,Escudero Damian Ariel,Escudero
316628,Lucas Farias,Lucas Farias Gomes
321622,Gustavo Luiz,Gustavo Almeida ... R(g)
169286,Luiz Rhodo ...,Luiz Rhodolfo Dini G ...
322852,Daniel Bor ...,Daniel Fortunato Borges
316737,Ademilson,Ademilson Braga Bisp...
183874,Fabricio,Fabricio Silva Dornellas
172292,Denis,Denis Cesar de Matos
369136,Euller Elosman,Euller Silva ...
345109,Lucas,Lucas Evangelista Sa...
369198,Edson,Edson Nunes Santana
326613,Ronei,Ronei Gleison Rodrig...
320720,Gabriel,Gabriel Soares Oliveira
185301,Silvinho,Silvio Jose Cardoso ...
293180,Vander,Vander Luiz Silva Souza
136674,Fabricio,Fabricio de Sousa
180838,Marquinhos,Marcos Antonio da Si ...
332318,Reinaldo,Reinaldo Manoel da Silva
341465,Rômulo,Romulo Oliveira Amorim
,,
305735,Bruno,Bruno Brigido de Oli ...
155703,Renan,Renan Brito Soares
171745,Sueliton,Sueliton Pereira de  ...
341055,Clayton,Clayton Sales Paulino
175475,Matheus Fe ...,Matheus Ferraz Pereira
137340,Rodrigo,Rodrigo Baldasso da ...
163885,Fabio,Fabio Ferreira da Silva
179103,Valmir,Valmir Lucas de Oliveira
175242,Sergio Ant ...,Sergio Antonio Borge...
169939,Amaral,William Jose de Souza
183840,Marlon,Marlon Farias Castel ...
291317,William Ma ...,William Matheus da Silva
181681,Cassiano,Cassiano Dias Moreira
302795,Erik,Erik Nascimento de Lima
181803,Elton,Elton Junior Melo Ataide
353262,Thiago Men ...,Thiago Henrique Mend...
152788,Wellington ...,Wellington Pereira d ...
138056,Hugo,Hugo Henrique Assis ...
156048,Morais Manoel,Morais Amorim
178684,Renan Oliv ...,Renan Henrique Olive ...
164019,Joao Vitor,Joao Vitor Lima Gomes
179832,Walter,Walter Henrique da Silva
303187,Helton,Helton Brant Aleixo  ...
160251,Neto Baiano,Euvaldo Jose de Agui...
182550,Ewerton,Ewerton Ribeiro Pascoa
160650,Edson,Edson Pereira Lisboa
310646,Guilherme,Guilherme Augusto Pa ...
158901,Lacerda,Rafael dos Santos La...
157797,Amaral,Carlos Rafael do Amaral
139094,Dudu Ceare ...,Alexandro Silva de Sousa
330478,Diego,Diego Araujo Hoffmann
144165,Caio,Antonio Caio Silva Sousa
166249,Leandro Br ...,Leandro de Medeiros  ...
131482,Araujo,Clemerson de Araujo ...
139659,Marcel,Marcel Augusto Ortolan
293172,Junior Vicosa Luiz Severo,Junior
150855,Giancarlo,Giancarlo da Silva Moro
150731,David França,David Franca Oliveir...
178280,Ivo,Olivio da Rosa
176417,Tarta,Vinicius Silva Soares
137990,Diego Cava ...,Diego Cavalieri
172996,Bruno,Bruno Vieira do Nasc ...
167958,Welington  ...,Welington Pereira Ro ...
143977,Edinho,Edimo Ferreira Campos
121283,Juninho,Antonio Augusto Ribe...
173760,Carlinhos,Carlos Andrade Souza
173180,Jean,Jean Raphael Vanderl ...
148994,Fred,Frederico Chaves Guedes
172038,Rodrigo,Rodrigo Junior Paula ...
154127,Wagner,Wagner Ferreira dos  ...
307645,Jomar,Jomar Herculano Lourenc
127738,Anderson,Anderson Luis de Souza
