CBF,In,Out,Nº,Clube
347641,00:00 - 1T,45:00 - 2T,1,NovaMutum/MT
141092,00:00 - 1T,45:00 - 2T,1,União/MT
294403,00:00 - 1T,45:00 - 2T,2,NovaMutum/MT
428421,00:00 - 1T,45:00 - 2T,4,União/MT
432784,00:00 - 1T,45:00 - 2T,3,NovaMutum/MT
359516,00:00 - 1T,45:00 - 2T,5,União/MT
364512,00:00 - 1T,45:00 - 2T,4,NovaMutum/MT
374003,00:00 - 1T,45:00 - 2T,6,União/MT
405395,00:00 - 1T,45:00 - 2T,5,NovaMutum/MT
370001,00:00 - 1T,39:00 - 2T,7,União/MT
359087,00:00 - 1T,45:00 - 2T,6,NovaMutum/MT
537118,00:00 - 1T,39:00 - 2T,8,União/MT
504612,00:00 - 1T,45:00 - 2T,7,NovaMutum/MT
551655,00:00 - 1T,39:00 - 2T,9,União/MT
386880,00:00 - 1T,45:00 - 2T,8,NovaMutum/MT
521510,00:00 - 1T,45:00 - 2T,10,União/MT
508180,00:00 - 1T,45:00 - 2T,9,NovaMutum/MT
424399,00:00 - 1T,31:00 - 2T,11,União/MT
449962,00:00 - 1T,45:00 - 2T,10,NovaMutum/MT
505331,00:00 - 1T,12:00 - 2T,13,União/MT
368004,00:00 - 1T,45:00 - 2T,11,NovaMutum/MT
351860,00:00 - 1T,45:00 - 2T,14,União/MT
393701,12:00 - 2T,45:00 - 2T,17,União/MT
331759,31:00 - 2T,45:00 - 2T,15,União/MT
409776,39:00 - 2T,45:00 - 2T,20,União/MT
306420,39:00 - 2T,45:00 - 2T,19,União/MT
461621,39:00 - 2T,45:00 - 2T,22,União/MT
