CBF,In,Out,Nº,Clube
159684,00:00 - 1T,45:00 - 2T,1,VascodaGama/RJ
157264,00:00 - 1T,45:00 - 2T,12,Internacional/RS
165709,00:00 - 1T,45:00 - 2T,3,VascodaGama/RJ
306270,00:00 - 1T,45:00 - 2T,8,Internacional/RS
164170,00:00 - 1T,45:00 - 2T,5,VascodaGama/RJ
436395,00:00 - 1T,44:00 - 2T,11,Internacional/RS
704417,00:00 - 1T,45:00 - 2T,7,VascodaGama/RJ
296330,00:00 - 1T,44:00 - 2T,13,Internacional/RS
695297,00:00 - 1T,45:00 - 2T,10,VascodaGama/RJ
540238,00:00 - 1T,45:00 - 2T,14,Internacional/RS
563898,00:00 - 1T,45:00 - 2T,11,VascodaGama/RJ
567555,00:00 - 1T,45:00 - 2T,15,Internacional/RS
691654,00:00 - 1T,45:00 - 2T,14,VascodaGama/RJ
318481,00:00 - 1T,45:00 - 2T,20,Internacional/RS
526369,00:00 - 1T,45:00 - 2T,18,VascodaGama/RJ
353568,00:00 - 1T,45:00 - 2T,22,Internacional/RS
322321,00:00 - 1T,45:00 - 2T,23,VascodaGama/RJ
542337,00:00 - 1T,INT,27,Internacional/RS
372370,00:00 - 1T,45:00 - 2T,36,VascodaGama/RJ
541788,00:00 - 1T,26:00 - 2T,45,Internacional/RS
308965,00:00 - 1T,45:00 - 2T,37,VascodaGama/RJ
442105,00:00 - 1T,26:00 - 2T,47,Internacional/RS
184455,INT,45:00 - 2T,19,Internacional/RS
337363,26:00 - 2T,45:00 - 2T,33,Internacional/RS
189822,26:00 - 2T,45:00 - 2T,17,Internacional/RS
516798,44:00 - 2T,45:00 - 2T,30,Internacional/RS
520239,44:00 - 2T,45:00 - 2T,31,Internacional/RS
