CBF,In,Out,Nº,Clube
169226,00:00 - 1T,45:00 - 2T,1,Joinville/SC
324710,00:00 - 1T,45:00 - 2T,1,Bragantino/SP
167070,00:00 - 1T,45:00 - 2T,2,Joinville/SC
191476,00:00 - 1T,45:00 - 2T,2,Bragantino/SP
165939,00:00 - 1T,28:00 - 2T,3,Joinville/SC
165264,00:00 - 1T,45:00 - 2T,3,Bragantino/SP
189299,00:00 - 1T,45:00 - 2T,4,Joinville/SC
317022,00:00 - 1T,45:00 - 2T,4,Bragantino/SP
336832,00:00 - 1T,45:00 - 2T,5,Joinville/SC
183385,00:00 - 1T,45:00 - 2T,5,Bragantino/SP
160357,00:00 - 1T,45:00 - 2T,6,Joinville/SC
145883,00:00 - 1T,45:00 - 2T,6,Bragantino/SP
171339,00:00 - 1T,19:00 - 2T,7,Joinville/SC
351450,00:00 - 1T,36:00 - 2T,7,Bragantino/SP
293384,00:00 - 1T,45:00 - 2T,8,Joinville/SC
176899,00:00 - 1T,10:00 - 2T,8,Bragantino/SP
185304,00:00 - 1T,36:00 - 2T,9,Joinville/SC
135893,00:00 - 1T,45:00 - 2T,9,Bragantino/SP
137283,00:00 - 1T,45:00 - 2T,10,Joinville/SC
155550,00:00 - 1T,45:00 - 2T,10,Bragantino/SP
296349,00:00 - 1T,45:00 - 2T,11,Joinville/SC
175901,00:00 - 1T,25:00 - 2T,11,Bragantino/SP
333705,10:00 - 2T,45 - 2T,19,Bragantino/SP
312406,19:00 - 2T,45 - 2T,15,Joinville/SC
137418,25:00 - 2T,45 - 2T,20,Bragantino/SP
303392,28:00 - 2T,45 - 2T,14,Joinville/SC
170178,36:00 - 2T,45 - 2T,13,Joinville/SC
144165,36:00 - 2T,45 - 2T,18,Bragantino/SP
