CBF,In,Out,Nº,Clube
153275,00:00 - 1T,45:00 - 2T,1,Treze/PB
174755,00:00 - 1T,45:00 - 2T,1,Fortaleza/CE
169792,00:00 - 1T,45:00 - 2T,2,Treze/PB
155011,00:00 - 1T,45:00 - 2T,2,Fortaleza/CE
293201,00:00 - 1T,45:00 - 2T,3,Treze/PB
155359,00:00 - 1T,45:00 - 2T,3,Fortaleza/CE
160654,00:00 - 1T,45:00 - 2T,4,Treze/PB
300886,00:00 - 1T,45:00 - 2T,4,Fortaleza/CE
307961,00:00 - 1T,45:00 - 2T,5,Treze/PB
135421,00:00 - 1T,45:00 - 2T,5,Fortaleza/CE
146009,00:00 - 1T,45:00 - 2T,6,Treze/PB
184704,00:00 - 1T,45:00 - 2T,6,Fortaleza/CE
146453,00:00 - 1T,45:00 - 2T,7,Treze/PB
299925,00:00 - 1T,45:00 - 2T,7,Fortaleza/CE
188207,00:00 - 1T,45:00 - 2T,8,Treze/PB
139359,00:00 - 1T,45:00 - 2T,8,Fortaleza/CE
172206,00:00 - 1T,45:00 - 2T,9,Treze/PB
161325,00:00 - 1T,45:00 - 2T,9,Fortaleza/CE
127754,00:00 - 1T,45:00 - 2T,10,Treze/PB
176343,00:00 - 1T,45:00 - 2T,10,Fortaleza/CE
291978,00:00 - 1T,45:00 - 2T,11,Treze/PB
172288,00:00 - 1T,45:00 - 2T,11,Fortaleza/CE
