CBF,In,Out,Nº,Clube
305615,00:00 - 1T,45:00 - 2T,1,ÁguiadeMarabá/PA
311880,00:00 - 1T,45:00 - 2T,12,Fortaleza/CE
349560,00:00 - 1T,45:00 - 2T,2,ÁguiadeMarabá/PA
341763,00:00 - 1T,INT,2,Fortaleza/CE
171863,00:00 - 1T,45:00 - 2T,3,ÁguiadeMarabá/PA
160789,00:00 - 1T,45:00 - 2T,3,Fortaleza/CE
156478,00:00 - 1T,45:00 - 2T,4,ÁguiadeMarabá/PA
184704,00:00 - 1T,45:00 - 2T,4,Fortaleza/CE
166227,00:00 - 1T,45:00 - 2T,5,ÁguiadeMarabá/PA
138048,00:00 - 1T,45:00 - 2T,5,Fortaleza/CE
181270,00:00 - 1T,45:00 - 2T,6,ÁguiadeMarabá/PA
305917,00:00 - 1T,45:00 - 2T,6,Fortaleza/CE
133182,00:00 - 1T,45:00 - 2T,7,ÁguiadeMarabá/PA
173391,00:00 - 1T,45:00 - 2T,7,Fortaleza/CE
184979,00:00 - 1T,45:00 - 2T,8,ÁguiadeMarabá/PA
169274,00:00 - 1T,45:00 - 2T,8,Fortaleza/CE
329783,00:00 - 1T,45:00 - 2T,9,ÁguiadeMarabá/PA
325678,00:00 - 1T,32:00 - 2T,9,Fortaleza/CE
164677,00:00 - 1T,45:00 - 2T,10,ÁguiadeMarabá/PA
156342,00:00 - 1T,45:00 - 2T,10,Fortaleza/CE
330978,00:00 - 1T,45:00 - 2T,11,ÁguiadeMarabá/PA
298161,00:00 - 1T,21:00 - 2T,11,Fortaleza/CE
139094,INT,45:00 - 2T,22,Fortaleza/CE
171339,21:00 - 2T,45:00 - 2T,15,Fortaleza/CE
183723,32:00 - 2T,45:00 - 2T,17,Fortaleza/CE
