Competição,Ano,Jogo
Copa do Brasil,2013,276
Serie C,2013,277
Serie D,2013,277
Copa do Brasil,2013,277
Serie C,2013,278
Serie D,2013,278
Copa do Brasil,2013,278
Serie C,2013,279
Serie D,2013,279
Copa do Brasil,2013,279
Serie C,2013,280
Serie D,2013,280
Copa do Brasil,2013,280
Serie C,2013,281
Serie D,2013,281
Copa do Brasil,2013,281
Serie C,2013,282
Serie D,2013,282
Copa do Brasil,2013,282
Serie C,2013,283
Serie D,2013,283
Copa do Brasil,2013,283
Serie C,2013,284
Serie D,2013,284
Copa do Brasil,2013,284
Serie C,2013,285
Serie D,2013,285
Copa do Brasil,2013,285
Serie C,2013,286
Serie D,2013,286
Copa do Brasil,2013,286
Serie C,2013,287
Serie D,2013,287
Copa do Brasil,2013,287
Serie C,2013,288
Serie D,2013,288
Copa do Brasil,2013,288
Serie C,2013,289
Serie D,2013,289
Copa do Brasil,2013,289
Serie C,2013,290
Serie D,2013,290
Copa do Brasil,2013,290
Serie C,2013,291
Serie D,2013,291
Copa do Brasil,2013,291
Serie C,2013,292
Serie D,2013,292
Copa do Brasil,2013,292
Serie C,2013,293
Serie D,2013,293
Copa do Brasil,2013,293
Serie C,2013,294
Serie D,2013,294
Copa do Brasil,2013,294
Serie C,2013,295
Serie D,2013,295
Copa do Brasil,2013,295
Serie C,2013,296
Serie D,2013,296
Copa do Brasil,2013,296
Serie C,2013,297
Serie D,2013,297
Copa do Brasil,2013,297
Serie C,2013,298
Serie D,2013,298
Copa do Brasil,2013,298
Serie C,2013,299
Serie D,2013,299
Copa do Brasil,2013,299
Serie C,2013,300
Serie D,2013,300
Copa do Brasil,2013,300
Serie C,2013,301
Serie D,2013,301
Copa do Brasil,2013,301
Serie C,2013,302
Serie D,2013,302
Copa do Brasil,2013,302
Serie C,2013,303
Serie D,2013,303
Copa do Brasil,2013,303
Serie C,2013,304
Serie D,2013,304
Copa do Brasil,2013,304
Serie C,2013,305
Serie D,2013,305
Copa do Brasil,2013,305
Serie C,2013,306
Serie D,2013,306
Copa do Brasil,2013,306
Serie C,2013,307
