CBF,Apelido,Nome
117336,Dida,Nelson de Jesus Silva
172028,Felipe,Felipe Garcia dos Pr...
165065,Pará,Marcos Rogerio Ricci ...
178887,Manoel,Manoel Messias Barbo...
172411,Werley,Werley Ananias da Silva
293359,Joao Filipe,Joao Filipe Rabelo d...
178096,Souza Josef de,Souza Dias
170277,Luis Eduardo,Luis Eduardo Gomes Pinto
137518,Elano,Elano Blumer
169835,Edicarlos,Elicarlos Souza Santos
430638,Vargas Eduardo Jesus,Vargas ...
175130,Joseilson,Joseilson Batista do...
402375,Hernan,Hernan Barcos
135288,Luis Ferna ...,Luis Fernando Lojudi...
120815,Ze,Roberto Jose Roberto da Silv ...
146475,Rodrigo So ...,Rodrigo Ribeiro Souto
297016,Alex,Alex Nicolao Telles
292500,Herlison,Herlison Caion de So...
295548,Matheus,Matheus Simonete Bre ...
291780,Rogerio Jose,Rogerio de Oliv...
293957,Fernando,Fernando Lucas Martins
162905,Elton,Elton Rodrigues Brandao
126273,Cris,Cristiano Marques Gomes
190306,Gideao,Gideao Lima de Castro
161039,Marquinhos,Marcos Antonio Miran ...
156511,Admilson,Admilson da Anunciac...
168351,Marcelo,Marcelo Grohe
186128,Alemao,Rafael Berger
348895,Biteco,Guilherme Bitencourt ...
337194,Joao,Joao Ananias Jordao ...
123814,Fabio,Fabio Aurelio Rodrigues
341763,Auremir,Auremir Evangelista ...
169940,Welliton,Welliton Soares Morais
171224,Adeilson,Adeilson Pereira de ...
150176,Kleber,Kleber Giacomace de ...
189999,Jones,Jones da Silva Lopes
140911,Edson Bastos,Edson Bastos Barreto
172292,Denis,Denis Cesar de Matos
185679,Cicinho,Neuciano de Jesus Gusmao
128373,Lucio,Lucimar da Silva Fer...
297414,Cleber,Cleber Janderson Per ...
316645,Rodrigo,Rodrigo Caio Coquett...
162757,Diego,Diego Alessandro Apa ...
135687,Luis Fabiano,Luis Fabiano Clemente
180842,Andres,Andres Fernandes Gon ...
149233,Jadson,Jadson Rodrigues da ...
175320,Uendel,Uendel Pereira Goncalves
166943,Edson,Edson Jose da Silva
318254,Rildo,Rildo de Andrade Fel ...
165831,Denilson,Denilson Pereira Neves
146581,Magal,Sidnei da Silva
183853,Carleto,Thiago Carletti Alves
141880,William,William Junior Salle ...
177411,Osvaldo,Osvaldo Lourenco Filho
175503,Chiquinho,Francisco Sousa dos ...
185301,Silvio,Silvio Jose Cardoso ...
370866,Ramirez Luis Alberto,Ramirez ...
291274,Douglas,Douglas Pereira dos ...
135494,Volpato Roberto,Volpato Netto
184600,Wellington,Wellington Aparecido...
180179,Biro,Rodrigo Pereira de Lima
291380,Paulo,Mira ... Jonathan Doin
170571,Ferron,Luiz Antonio Linhare ...
166603,Maicon,Maicon Thiago Pereir...
184507,Artur Jose,Artur Barbosa d ...
173538,Aloisio,Aloisio dos Santos G...
308434,Fernando Jose,Fernando Olivei ...
326613,Ronei,Ronei Gleison Rodrig...
165064,Everton Sa ...,Everton Leandro dos ...
177092,Leonardo,Leonardo da Silva Vieira
175747,Alemao,Jose Carlos Tofolo J ...
145923,Juan,Juan Maldonado Jaime...
305735,Bruno,Bruno Brigido de Oli ...
157264,Marcelo,Marcelo Lomba do Nas...
186144,Bruno,Bruno Renan Trombelli
321829,Madson,Madson Ferreira dos ...
175475,Matheus,Matheus Ferraz Pereira
190431,Rafael,Rafael Ferreira Donato
182550,Ewerton,Ewerton Ribeiro Pascoa
170255,Christian,Christian Chagas Tarouco
