CBF,In,Out,Nº,Clube
157264,00:00 - 1T,45:00 - 2T,1,Bahia/BA
155703,00:00 - 1T,45:00 - 2T,1,Goiás/GO
296748,00:00 - 1T,37:00 - 2T,2,Bahia/BA
293695,00:00 - 1T,45:00 - 2T,2,Goiás/GO
171815,00:00 - 1T,45:00 - 2T,3,Bahia/BA
299142,00:00 - 1T,45:00 - 2T,3,Goiás/GO
309265,00:00 - 1T,45:00 - 2T,4,Bahia/BA
338777,00:00 - 1T,45:00 - 2T,4,Goiás/GO
160379,00:00 - 1T,45:00 - 2T,5,Bahia/BA
169939,00:00 - 1T,45:00 - 2T,5,Goiás/GO
185126,00:00 - 1T,45:00 - 2T,9,Bahia/BA
187540,00:00 - 1T,45:00 - 2T,6,Goiás/GO
166253,00:00 - 1T,18:00 - 2T,10,Bahia/BA
353262,00:00 - 1T,45:00 - 2T,7,Goiás/GO
299208,00:00 - 1T,31:00 - 2T,22,Bahia/BA
302774,00:00 - 1T,INT,8,Goiás/GO
162945,00:00 - 1T,45:00 - 2T,36,Bahia/BA
163448,00:00 - 1T,45:00 - 2T,9,Goiás/GO
153030,00:00 - 1T,45:00 - 2T,77,Bahia/BA
152825,00:00 - 1T,INT,10,Goiás/GO
181106,00:00 - 1T,45:00 - 2T,88,Bahia/BA
302795,00:00 - 1T,29:00 - 2T,11,Goiás/GO
304816,INT,45:00 - 2T,18,Goiás/GO
176512,INT,45:00 - 2T,17,Goiás/GO
459687,18:00 - 2T,45:00 - 2T,17,Bahia/BA
340890,29:00 - 2T,45:00 - 2T,19,Goiás/GO
188231,31:00 - 2T,45:00 - 2T,7,Bahia/BA
327755,37:00 - 2T,45:00 - 2T,59,Bahia/BA
