CBF,In,Out,Nº,Clube
313174,00:00 - 1T,45:00 - 2T,1,Confiança/SE
294558,00:00 - 1T,45:00 - 2T,1,Globo/RN
356106,00:00 - 1T,45:00 - 2T,3,Confiança/SE
365792,00:00 - 1T,45:00 - 2T,2,Globo/RN
177015,00:00 - 1T,45:00 - 2T,4,Confiança/SE
324846,00:00 - 1T,45:00 - 2T,3,Globo/RN
178985,00:00 - 1T,19:00 - 2T,6,Confiança/SE
170707,00:00 - 1T,45:00 - 2T,4,Globo/RN
174930,00:00 - 1T,45:00 - 2T,7,Confiança/SE
155566,00:00 - 1T,45:00 - 2T,5,Globo/RN
144430,00:00 - 1T,45:00 - 2T,8,Confiança/SE
140072,00:00 - 1T,45:00 - 2T,6,Globo/RN
367343,00:00 - 1T,45:00 - 2T,9,Confiança/SE
401299,00:00 - 1T,45:00 - 2T,7,Globo/RN
316561,00:00 - 1T,INT,11,Confiança/SE
171958,00:00 - 1T,40:00 - 2T,8,Globo/RN
314543,00:00 - 1T,45:00 - 2T,15,Confiança/SE
178836,00:00 - 1T,45:00 - 2T,9,Globo/RN
346928,00:00 - 1T,45:00 - 2T,16,Confiança/SE
297314,00:00 - 1T,31:00 - 2T,10,Globo/RN
341683,00:00 - 1T,INT,17,Confiança/SE
591142,00:00 - 1T,09:00 - 2T,11,Globo/RN
147313,INT,45:00 - 2T,18,Confiança/SE
335249,INT,45:00 - 2T,21,Confiança/SE
337783,09:00 - 2T,45:00 - 2T,16,Globo/RN
168366,19:00 - 2T,45:00 - 2T,10,Confiança/SE
301162,31:00 - 2T,45:00 - 2T,17,Globo/RN
319715,40:00 - 2T,45:00 - 2T,14,Globo/RN
