CBF,Time,Type,Game
166061,33:00 - 2T,NR,328
191616,41:00 - 2T,NR,328
293440,12:00 - 1T,NR,329
130372,27:00 - 1T,NR,329
176522,12:00 - 2T,NR,329
154127,16:00 - 1T,NR,332
292175,05:00 - 2T,NR,332
107639,03:00 - 2T,PN,333
316737,18:00 - 2T,NR,333
166061,36:00 - 1T,NR,334
164237,05:00 - 2T,NR,334
138321,25:00 - 2T,NR,334
191616,35:00 - 2T,NR,334
169286,06:00 - 2T,NR,335
295792,24:00 - 1T,NR,336
152825,26:00 - 1T,NR,336
163885,06:00 - 1T,NR,337
152788,28:00 - 1T,PN,337
122631,15:00 - 2T,NR,337
173277,37:00 - 1T,NR,338
299481,20:00 - 2T,PN,338
143465,21:00 - 2T,NR,338
291626,19:00 - 2T,NR,339
172110,27:00 - 1T,NR,341
419705,36:00 - 1T,NR,341
374375,33:00 - 2T,NR,341
374375,36:00 - 2T,NR,341
169940,17:00 - 1T,NR,342
173180,24:00 - 1T,NR,342
167958,44:00 - 2T,NR,342
164237,20:00 - 1T,NR,344
188231,39:00 - 2T,NR,344
444943,15:00 - 2T,NR,345
155855,40:00 - 2T,NR,345
444943,42:00 - 2T,NR,345
348196,19:00 - 1T,NR,346
179832,25:00 - 1T,NR,346
138056,27:00 - 2T,NR,346
326613,37:00 - 2T,NR,346
188453,37:00 - 2T,NR,347
156140,04:00 - 1T,NR,348
182944,30:00 - 2T,NR,348
320857,38:00 - 2T,NR,348
156140,+1 - 2T,NR,348
152788,28:00 - 1T,NR,349
292357,24:00 - 2T,NR,349
176375,25:00 - 2T,NR,349
292132,45:00 - 1T,NR,350
189708,19:00 - 2T,NR,350
308877,02:00 - 1T,NR,351
143841,32:00 - 1T,NR,351
293393,19:00 - 2T,NR,351
185974,18:00 - 1T,NR,352
173538,03:00 - 1T,NR,353
172110,28:00 - 1T,NR,353
188453,44:00 - 1T,NR,354
291758,15:00 - 1T,NR,356
430638,09:00 - 2T,NR,356
152788,13:00 - 1T,PN,357
164237,08:00 - 2T,NR,357
173277,23:00 - 1T,NR,358
150201,33:00 - 1T,NR,358
169939,43:00 - 1T,NR,358
150201,21:00 - 2T,NR,358
150201,27:00 - 2T,NR,358
294712,26:00 - 1T,NR,359
122631,27:00 - 1T,NR,359
176512,01:00 - 2T,NR,359
189538,07:00 - 2T,NR,359
