CBF,In,Out,Nº,Clube
177853,00:00 - 1T,45:00 - 2T,1,Cuiabá/MT
308661,00:00 - 1T,45:00 - 2T,1,Palmeiras/SP
530965,00:00 - 1T,45:00 - 2T,2,Cuiabá/MT
551741,00:00 - 1T,45:00 - 2T,3,Palmeiras/SP
706429,00:00 - 1T,45:00 - 2T,3,Cuiabá/MT
706084,00:00 - 1T,45:00 - 2T,4,Palmeiras/SP
293393,00:00 - 1T,45:00 - 2T,4,Cuiabá/MT
501063,00:00 - 1T,35:00 - 2T,25,Palmeiras/SP
387971,00:00 - 1T,45:00 - 2T,5,Cuiabá/MT
309431,00:00 - 1T,INT,26,Palmeiras/SP
175320,00:00 - 1T,INT,6,Cuiabá/MT
541921,00:00 - 1T,45:00 - 2T,27,Palmeiras/SP
313001,00:00 - 1T,27:00 - 2T,7,Cuiabá/MT
501573,00:00 - 1T,40:00 - 2T,32,Palmeiras/SP
321898,00:00 - 1T,20:00 - 2T,8,Cuiabá/MT
320263,00:00 - 1T,35:00 - 2T,38,Palmeiras/SP
305521,00:00 - 1T,10:00 - 2T,9,Cuiabá/MT
610031,00:00 - 1T,27:00 - 2T,41,Palmeiras/SP
376734,00:00 - 1T,45:00 - 2T,10,Cuiabá/MT
553046,00:00 - 1T,45:00 - 2T,49,Palmeiras/SP
548252,00:00 - 1T,INT,11,Cuiabá/MT
648395,00:00 - 1T,45:00 - 2T,66,Palmeiras/SP
670174,INT,45:00 - 2T,16,Cuiabá/MT
554444,INT,45:00 - 2T,46,Palmeiras/SP
363480,INT,45:00 - 2T,23,Cuiabá/MT
162905,10:00 - 2T,45:00 - 2T,19,Cuiabá/MT
302451,20:00 - 2T,45:00 - 2T,21,Cuiabá/MT
614961,27:00 - 2T,45:00 - 2T,36,Palmeiras/SP
723989,27:00 - 2T,45:00 - 2T,22,Cuiabá/MT
440763,35:00 - 2T,45:00 - 2T,45,Palmeiras/SP
547222,35:00 - 2T,45:00 - 2T,35,Palmeiras/SP
540809,40:00 - 2T,45:00 - 2T,56,Palmeiras/SP
