CBF,In,Out,Nº,Clube
177853,00:00 - 1T,45:00 - 2T,1,Cuiabá/MT
168926,00:00 - 1T,45:00 - 2T,1,America/MG
530965,00:00 - 1T,45:00 - 2T,2,Cuiabá/MT
304071,00:00 - 1T,45:00 - 2T,3,America/MG
299840,00:00 - 1T,14:00 - 2T,3,Cuiabá/MT
438212,00:00 - 1T,45:00 - 2T,10,America/MG
293393,00:00 - 1T,45:00 - 2T,4,Cuiabá/MT
175557,00:00 - 1T,42:00 - 2T,11,America/MG
341763,00:00 - 1T,INT,5,Cuiabá/MT
337894,00:00 - 1T,14:00 - 2T,13,America/MG
175320,00:00 - 1T,45:00 - 2T,6,Cuiabá/MT
337242,00:00 - 1T,45:00 - 2T,21,America/MG
302451,00:00 - 1T,45:00 - 2T,7,Cuiabá/MT
178620,00:00 - 1T,42:00 - 2T,29,America/MG
321898,00:00 - 1T,34:00 - 2T,8,Cuiabá/MT
311988,00:00 - 1T,14:00 - 2T,30,America/MG
305521,00:00 - 1T,27:00 - 2T,9,Cuiabá/MT
327667,00:00 - 1T,45:00 - 2T,45,America/MG
376734,00:00 - 1T,45:00 - 2T,10,Cuiabá/MT
316223,00:00 - 1T,45:00 - 2T,66,America/MG
335599,00:00 - 1T,14:00 - 2T,11,Cuiabá/MT
732949,00:00 - 1T,33:00 - 2T,99,America/MG
180789,INT,45:00 - 2T,17,Cuiabá/MT
706429,14:00 - 2T,45:00 - 2T,15,Cuiabá/MT
337261,14:00 - 2T,45:00 - 2T,8,America/MG
313001,14:00 - 2T,45:00 - 2T,16,Cuiabá/MT
413248,14:00 - 2T,45:00 - 2T,7,America/MG
162905,27:00 - 2T,45:00 - 2T,19,Cuiabá/MT
179395,33:00 - 2T,45:00 - 2T,55,America/MG
363480,34:00 - 2T,45:00 - 2T,23,Cuiabá/MT
423003,42:00 - 2T,45:00 - 2T,9,America/MG
318082,42:00 - 2T,45:00 - 2T,2,America/MG
