CBF,In,Out,Nº,Clube
182631,00:00 - 1T,45:00 - 2T,25,Fluminense/RJ
165094,00:00 - 1T,45:00 - 2T,12,Ceará/CE
307134,00:00 - 1T,30:00 - 2T,2,Fluminense/RJ
326990,00:00 - 1T,45:00 - 2T,3,Ceará/CE
307979,00:00 - 1T,13:00 - 2T,6,Fluminense/RJ
303237,00:00 - 1T,45:00 - 2T,6,Ceará/CE
303716,00:00 - 1T,45:00 - 2T,9,Fluminense/RJ
169114,00:00 - 1T,45:00 - 2T,8,Ceará/CE
184364,00:00 - 1T,45:00 - 2T,10,Fluminense/RJ
175065,00:00 - 1T,45:00 - 2T,19,Ceará/CE
646477,00:00 - 1T,45:00 - 2T,11,Fluminense/RJ
292428,00:00 - 1T,45:00 - 2T,22,Ceará/CE
337823,00:00 - 1T,45:00 - 2T,19,Fluminense/RJ
167723,00:00 - 1T,45:00 - 2T,36,Ceará/CE
308495,00:00 - 1T,45:00 - 2T,20,Fluminense/RJ
538942,00:00 - 1T,INT,37,Ceará/CE
540090,00:00 - 1T,42:00 - 2T,23,Fluminense/RJ
430883,00:00 - 1T,24:00 - 2T,55,Ceará/CE
172038,00:00 - 1T,45:00 - 2T,26,Fluminense/RJ
189822,00:00 - 1T,37:00 - 2T,89,Ceará/CE
379386,00:00 - 1T,45:00 - 2T,33,Fluminense/RJ
536862,00:00 - 1T,45:00 - 2T,98,Ceará/CE
316729,INT,45 - 2T,94,Ceará/CE
526048,13:00 - 2T,45 - 2T,32,Fluminense/RJ
399713,24:00 - 2T,45 - 2T,11,Ceará/CE
307616,30:00 - 2T,45 - 2T,21,Fluminense/RJ
189538,37:00 - 2T,45 - 2T,10,Ceará/CE
582161,42:00 - 2T,45 - 2T,37,Fluminense/RJ
